省,市,区,全名,别名,性质,等级
海南省,海口市,琼山区,海口市琼山区大园社区卫生服务站,海口市琼山区大园社区卫生服务站,民营/综合医院,一级甲等
海南省,海口市,琼山区,琼山市中医院,琼山市中医院,公立/中医医院,未知
海南省,海口市,琼山区,海口市府城医院,海口市第四人民医院,公立/综合医院,一级甲等
海南省,海口市,琼山区,海口市琼山区桂林洋农场医院,海口市琼山区桂林洋农场医院,公立/综合医院,一级甲等
海南省,海口市,琼山区,海南省琼山区府城医院,海南省琼山区府城医院,公立/综合医院,一级甲等
海南省,海口市,琼山区,海口市琼山区中医院,海口市琼山区中医院,公立/综合医院,一级甲等
海南省,海口市,琼山区,海口市琼山人民医院,海口市琼山人民医院,公立/综合医院,二级甲等
海南省,海口市,琼山区,海南省妇幼保健院,海南省妇幼保健院,公立/综合医院,二级甲等
海南省,海口市,琼山区,海口市口腔病防治所,海口市口腔病防治所,公立/专科医院,未知
海南省,海口市,琼山区,海南省老年病医院,海南省干部疗养院,公立/综合医院,未知
海南省,海口市,琼山区,大园社区卫生服务站,大园社区卫生服务站,个体户/综合医院,未知
海南省,海口市,琼山区,海口琼山佳诚牙科诊所,海口琼山佳诚牙科诊所,个体户/综合医院,未知
海南省,海口市,琼山区,国营红明农场医院,国营红明农场医院,公立/综合医院,一级甲等
海南省,海口市,琼山区,海口市琼山区华厦康复中心,海口市琼山区华厦康复中心,公立/综合医院,未知
海南省,海口市,琼山区,海口市琼山区人民医院,海口市琼山区人民医院,公立/综合医院,未知
海南省,海口市,琼山区,白坡里社区卫生服务站,白坡里社区卫生服务站,其他/其他,未知
海南省,海口市,琼山区,琼山区防疫站接种门诊,琼山区防疫站接种门诊,其他/其他,未知
海南省,海口市,琼山区,东昌农场医院,东昌农场医院,其他/综合医院,未知
海南省,海口市,琼山区,琼山区高登社区服务站,琼山区高登社区服务站,其他/其他,未知
海南省,海口市,琼山区,琼山区红明农场医院,琼山区红明农场医院,其他/其他,未知
海南省,海口市,琼山区,海南省妇幼保健院接种门诊,海南省妇幼保健院接种门诊,其他/其他,未知
海南省,海口市,琼山区,琼山区大园社区服务站,琼山区大园社区服务站,其他/其他,未知
海南省,海口市,琼山区,琼山区米铺社区服务站,琼山区米铺社区服务站,其他/其他,未知
海南省,海口市,琼山区,琼山区道客社区服务站,琼山区道客社区服务站,其他/其他,未知
海南省,海口市,琼山区,琼山区旧州镇卫生院,琼山区旧州镇卫生院,其他/其他,未知
海南省,海口市,琼山区,琼山区甲子镇卫生院,琼山区甲子镇卫生院,其他/其他,未知
海南省,海口市,琼山区,琼山区大坡镇卫生院,琼山区大坡镇卫生院,其他/其他,未知
海南省,海口市,琼山区,琼山区谭文卫生院,琼山区谭文卫生院,其他/其他,未知
海南省,海口市,琼山区,琼山红旗镇中心卫生院,琼山红旗镇中心卫生院,其他/其他,未知
海南省,海口市,琼山区,琼山区云龙镇卫生院,琼山区云龙镇卫生院,其他/其他,未知
海南省,海口市,琼山区,琼山区龙塘卫生院,琼山区龙塘卫生院,其他/其他,未知
海南省,海口市,琼山区,琼山府城镇铁桥卫生院,琼山府城镇铁桥卫生院,其他/其他,未知
海南省,海口市,琼山区,海口琼山区府城卫生院,海口琼山区府城卫生院,其他/其他,未知
海南省,海口市,琼山区,琼山三门坡镇卫生院第二门诊部,琼山三门坡镇卫生院第二门诊部,公立/门诊,未知
海南省,海口市,琼山区,铁桥卫生院第二门诊,铁桥卫生院第二门诊,其他/门诊,未知
海南省,海口市,琼山区,铁桥卫生院第一门诊,铁桥卫生院第一门诊,其他/门诊,未知
海南省,海口市,琼山区,红明农场医院第二门诊部,红明农场医院第二门诊部,其他/门诊,未知
海南省,海口市,琼山区,琼山红十字会门诊部,琼山红十字会门诊部,其他/未知,未知
海南省,海口市,琼山区,琼山中医院三峰门诊部,琼山中医院三峰门诊部,其他/门诊,未知
海南省,海口市,琼山区,琼山中医院中西医结合门诊部,琼山中医院中西医结合门诊部,其他/门诊,未知
海南省,海口市,琼山区,琼山中医院综合门诊,琼山中医院综合门诊,其他/门诊,未知
海南省,海口市,琼山区,琼山中医院第二门诊部,琼山中医院第二门诊部,其他/门诊,未知
海南省,海口市,琼山区,琼山中医院第一门诊,琼山中医院第一门诊,其他/门诊,未知
海南省,海口市,琼山区,琼山人民医院皮肤病门诊,琼山人民医院皮肤病门诊,其他/门诊,未知
海南省,海口市,琼山区,琼山中医院第五门诊部,琼山中医院第五门诊部,其他/门诊,未知
海南省,海口市,琼山区,琼山人民医院第三门诊,琼山人民医院第三门诊,其他/门诊,未知
海南省,海口市,琼山区,琼山人民医院第二门诊,琼山人民医院第二门诊,其他/门诊,未知
海南省,海口市,琼山区,琼山计划生育服务站,琼山计划生育服务站,其他/其他,未知
海南省,海口市,琼山区,琼山结核病防治所,琼山结核病防治所,其他/其他,未知
海南省,海口市,琼山区,琼山卫生防疫站,琼山卫生防疫站,其他/其他,未知
海南省,海口市,琼山区,琼山残疾儿童康复中心,琼山残疾儿童康复中心,其他/其他,未知
海南省,海口市,琼山区,三门坡卫生院谭文分院,三门坡卫生院谭文分院,其他/其他,未知
海南省,海口市,琼山区,海口市琼山区残疾儿童康复中心,海口市琼山区残疾儿童康复中心,公立/儿童医院,未知
海南省,海口市,琼山区,海南福兴康复医院,海南福兴男科医院,其他/专科医院,未知
