省,市,区,全名,别名,性质,等级
海南省,海口市,美兰区,海口肤康医院,海口肤康皮肤病医院,其他/专科医院,二级甲等
海南省,海口市,美兰区,桂林洋农场防疫组,桂林洋农场防疫组,其他/其他,未知
海南省,海口市,美兰区,演丰中心卫生院,演丰中心卫生院,其他/其他,未知
海南省,海口市,美兰区,琼苑社区卫生服务站,琼苑社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,锦山里社区卫生服务站,锦山里社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,海达社区卫生服务站,海达社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,振兴社区卫生服务站,振兴社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,五贤社区卫生服务站,五贤社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,公园后社区卫生服务站,公园后社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,青年路卫生服务站,青年路卫生服务站,其他/其他,未知
海南省,海口市,美兰区,和平南社区卫生服务站,和平南社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,龙舌坡社区卫生服务站,龙舌坡社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,演丰镇演海卫生院,演丰镇演海卫生院,其他/其他,未知
海南省,海口市,美兰区,白龙南社区卫生服务站,白龙南社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,振东卫生院,振东卫生院,其他/其他,未知
海南省,海口市,美兰区,海甸社区卫生服务站,海甸社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,银甸社区卫生服务站,银甸社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,东湖里社区卫生服务站,东湖里社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,海南省疾病预防保健中心,海南省疾病预防保健中心,其他/其他,未知
海南省,海口市,美兰区,海口市疾控中心接种门诊,海口市疾控中心接种门诊,其他/其他,未知
海南省,海口市,美兰区,灵山镇东营卫生院,灵山镇东营卫生院,其他/其他,未知
海南省,海口市,美兰区,新利社区卫生服务站,新利社区卫生服务站,其他/其他,未知
海南省,海口市,美兰区,大致坡镇咸来卫生院,大致坡镇咸来卫生院,其他/其他,未知
海南省,海口市,美兰区,海口市美兰区计划生育服务站,海口市美兰区计划生育服务站,其他/其他,未知
海南省,海口市,美兰区,海南省罗牛山监狱卫生院,海南省罗牛山监狱卫生院,其他/其他,未知
海南省,海口市,美兰区,海口市振东助残康复门诊,海口市振东助残康复门诊,其他/其他,未知
海南省,海口市,美兰区,海南省农垦桂林洋医院,海南省农垦桂林洋医院,其他/综合医院,未知
海南省,海口市,美兰区,灵山镇卫生院,灵山镇卫生院,其他/综合医院,未知
海南省,海口市,美兰区,美兰镇中心卫生院演海分院,美兰镇中心卫生院演海分院,其他/综合医院,未知
海南省,海口市,美兰区,海口市皮肤性病防治中心,海口市皮肤性病防治中心,公立/综合医院,一级甲等
海南省,海口市,美兰区,海南新建康美兆体检医院,美兆体检,其他/其他,民营医院
海南省,海口市,美兰区,武警海南省总队医院,海南男科医院,公立/综合医院,二级甲等
海南省,海口市,美兰区,海南省中医院,海南省中医院,公立/综合医院,三级甲等　　
海南省,海口市,美兰区,海口市人民医院,中南大学湘雅医学院附属海口医院,公立/综合医院,三级甲等　　
海南省,海口市,美兰区,海南省农垦总局医院东湖院区,海南省农垦总局医院东湖院区,公立/综合医院,三级甲等　　
海南省,海口市,美兰区,海南省人民医院海府路门诊部,海南省人民医院海府路门诊部,公立/门诊,未评级
海南省,海口市,美兰区,海南同济门诊部,海南同济门诊部,个体户/综合医院,未知
海南省,海口市,美兰区,海南省医院管理协会门诊部,海南省医院管理协会门诊部,公立/综合医院,未知
海南省,海口市,美兰区,海口市振东区卫生院,海口市振东区卫生院,个体户/综合医院,未知
海南省,海口市,美兰区,海联卫生院,海联卫生院,合资/综合医院,未知
海南省,海口市,美兰区,美兰区博爱医疗中心,美兰区博爱医疗中心,个体户/综合医院,未知
海南省,海口市,美兰区,白龙卫生院,白龙卫生院,合资/综合医院,未知
海南省,海口市,美兰区,海口美兰余春霞诊所,海口美兰余春霞诊所,个体户/综合医院,未知
海南省,海口市,美兰区,海口美兰仁德爱门诊部,海口美兰仁德爱门诊部,个体户/综合医院,未知
海南省,海口市,美兰区,海口美兰黄高林诊所,海口美兰黄高林诊所,个体户/综合医院,未知
海南省,海口市,美兰区,海口美兰博爱综合门诊部,海口美兰博爱综合门诊部,个体户/综合医院,未知
海南省,海口市,美兰区,海南省工人疗养院,海南省工人疗养院,公立/综合医院,未知
海南省,海口市,美兰区,海南南方肛肠病医院,海南南方肛肠病医院,公立/专科医院,二级甲等
海南省,海口市,美兰区,海南现代妇女儿童医院,海南现代妇女儿童医院,民营/专科医院,未知
海南省,海口市,美兰区,海口市结核病防治所,海口市结核病防治所,公立/综合医院,二级甲等
海南省,海口市,美兰区,海南港岛联合中医肿瘤医院,海南港岛联合中医肿瘤医院,民营/专科医院,二级甲等
海南省,海口市,美兰区,海南中西医结合医院,海南中西医结合医院,民营/综合医院,二级甲等
海南省,海口市,美兰区,海口市妇幼保健院,海口市妇女儿童医院,公立/专科医院,二级甲等
海南省,海口市,美兰区,海口市人民医院海口市红十字医院,海口市人民医院海口市红十字医院,公立/综合医院,一级甲等
海南省,海口市,美兰区,海口市振东区博爱医疗中心,海口市振东区博爱医疗中心,民营/综合医院,一级甲等
海南省,海口市,美兰区,海南武警总队医院,海南武警男科医院,公立/综合医院,二级甲等
