省,市,区,全名,别名,性质,等级
河北省,石家庄,桥东区,石家庄远大白癜风医院,石家庄远大白癜风医院,其他/专科医院,未评级
河北省,石家庄,桥东区,石家庄燕都皮肤病医院,河北石家庄皮肤病医院,民营/专科医院,未知
河北省,石家庄,桥东区,张家口市桥东区医院,张家口市桥东区医院,公立/综合医院,未知
河北省,石家庄,桥东区,石家庄汇康中医院,石家庄汇康中医院,个体户/综合医院,一级甲等
河北省,石家庄,桥东区,河北蕴育医院,河北蕴育医院,合资/专科医院,未知
河北省,石家庄,桥东区,中国人民保险公司石家庄分公司保险医院,中国人民保险公司石家庄分公司保险医院,公立/综合医院,一级甲等
河北省,石家庄,桥东区,石家庄瑞德医院,石家庄炼油厂医院,个体户/综合医院,二级甲等
河北省,石家庄,桥东区,石家庄康泰医院（民营）,石家庄康泰医院（民营）,公立/综合医院,一级甲等
河北省,石家庄,桥东区,中国人民解放军二六○医院,中国人民解放军二六○医院,公立/综合医院,一级甲等
河北省,石家庄,桥东区,中国人民解放军二六Ｏ医院,中国人民解放军二六Ｏ医院,公立/综合医院,一级甲等
河北省,石家庄,桥东区,石家庄铁道学院医院,石家庄铁道学院医院,公立/综合医院,一级甲等
河北省,石家庄,桥东区,动脉硬化闭塞症医院,石家庄长城医院周围血管科,公立/综合医院,一级甲等
河北省,石家庄,桥东区,石家庄长城医院周围血管科,石家庄红十字长城医院,民营/综合医院,二级甲等
河北省,石家庄,桥东区,中国人民解放军第二六零医院,中国人民解放军第二六零医院,公立/综合医院,未知
河北省,石家庄,桥东区,石家庄市按摩医院,石家庄市按摩医院,公立/综合医院,未知
河北省,石家庄,桥东区,中建一局六公司职工医院,中建一局六公司职工医院,公立/综合医院,一级甲等
河北省,石家庄,桥东区,石家庄华光中医肿瘤医院,石家庄华光中医肿瘤医院,公立/专科医院,一级甲等
河北省,石家庄,桥东区,石家庄钢铁有限责任公司职工医院,石家庄钢铁有限责任公司职工医院,公立/综合医院,一级甲等
河北省,石家庄,桥东区,石家庄市纺织厂职工医院,石家庄市纺织厂职工医院,公立/综合医院,一级甲等
河北省,石家庄,桥东区,石家庄市桥东区医院,石家庄市桥东区医院,公立/综合医院,二级乙等
河北省,石家庄,桥东区,石家庄市不孕不育症研究所,石家庄石岗医院,公立/综合医院,二级乙等
河北省,石家庄,桥东区,石家庄市交通医院,石家庄市交通医院,公立/综合医院,二级甲等
河北省,石家庄,桥东区,石家庄市建南医院,石家庄市建南医院,民营/综合医院,二级甲等
河北省,石家庄,桥东区,慢性疲劳综合症专科医院,同人慢性疲劳综合症研究所,公立/专科医院,二级甲等
河北省,石家庄,桥东区,河北省心脑血管医院,河北省心脑血管医院,公立/综合医院,二级甲等
河北省,石家庄,桥东区,河北省胸科医院,河北省结核病医院,公立/综合医院,三级甲等　　
河北省,石家庄,桥东区,河北水利医院,河北水利医院,公立/综合医院,未知
河北省,石家庄,桥东区,河北神经外科医院,河北神经外科医院,民营/综合医院,二级甲等
河北省,石家庄,桥东区,河北东方中西医结合医院,河北东方中西医结合医院,民营/综合医院,二级甲等
河北省,石家庄,桥东区,河北省职业病防治所,河北省职业病防治所,公立/综合医院,二级甲等
河北省,石家庄,桥东区,河北中西医结合皮肤病研究所,河北中西医结合皮肤病研究所,公立/综合医院,二级甲等
河北省,石家庄,桥东区,河北中医糖尿病治疗中心,河北中医糖尿病治疗中心,公立/综合医院,二级甲等
河北省,石家庄,桥东区,河北省地方病防治所,河北省地方病防治所,公立/综合医院,三级甲等　　
河北省,石家庄,桥东区,河北省中医医院,河北省中医医院,公立/综合医院,三级甲等　　
河北省,石家庄,桥东区,长城心脑血管病医院,长城医院,民营/专科医院,三级甲等　　
河北省,石家庄,桥东区,石家庄丰益肛泰医院,石家庄肛泰医院,民营/专科医院,未知
河北省,石家庄,桥东区,石家庄长江心理精神医院,石家庄长江心理医院,其他/专科医院,未评级
河北省,石家庄,桥东区,石家庄蓝天中医院,石家庄蓝天中医院截瘫科,民营/专科医院,未知
