省,市,区,全名,别名,性质,等级
河北省,石家庄,新华区,石家庄飞机场医院,石家庄飞机场医院,公立/综合医院,一级甲等
河北省,石家庄,新华区,河北省计划生育科学技术研究院,河北省计划生育科学技术研究院,公立/综合医院,一级乙等
河北省,石家庄,新华区,平顶山市新华区人民医院,平顶山市新华区人民医院,公立/综合医院,二级乙等
河北省,石家庄,新华区,武警河北总队医院,河北石家庄武警医院,公立/综合医院,三级甲等　　
河北省,石家庄,新华区,石家庄心理医院（民营）,石家庄心理医院（民营）,个体户/综合医院,一级甲等
河北省,石家庄,新华区,中国南车集团石家庄车辆厂医院,中国南车集团石家庄车辆厂医院,公立/综合医院,一级甲等
河北省,石家庄,新华区,石家庄市开发区医药研究所附属医院,石家庄市开发区医药研究所附属医院,公立/综合医院,一级甲等
河北省,石家庄,新华区,河北省人民医院,河北省医院,公立/综合医院,三级甲等　　
河北省,石家庄,新华区,河北医科大学中医学院附属医院,石家庄市中医院,公立/综合医院,三级甲等　　
河北省,石家庄,新华区,河北省医科大学第二医院,河北省医科大学第二医院,公立/综合医院,三级甲等　　
河北省,石家庄,新华区,中华职教社河北分社冀联医院,中华职教社河北分社冀联医院,公立/综合医院,未知
河北省,石家庄,新华区,石家庄消防部队医院,石家庄消防部队医院,公立/综合医院,未知
河北省,石家庄,新华区,河北红十字会博爱医院,河北红十字会博爱医院,民营/综合医院,未知
河北省,石家庄,新华区,中国人民解放军六四一一工厂医院,中国人民解放军六四一一工厂医院,公立/综合医院,一级乙等
河北省,石家庄,新华区,石家庄市新华区医院,石家庄市新华区医院,公立/综合医院,二级乙等
河北省,石家庄,新华区,石家庄市第二医院,石家庄口腔医院、石家庄地区人民医院,公立/综合医院,二级甲等
河北省,石家庄,新华区,石家庄市第八医院,石家庄市第八医院,公立/综合医院,二级甲等
河北省,石家庄,新华区,石家庄市傅山医院,石家庄市傅山医院,合资/综合医院,二级甲等
河北省,石家庄,新华区,石家庄市脑系医院,石家庄市脑系医院,公立/专科医院,二级甲等
河北省,石家庄,新华区,石家庄市肾病医院,肾病医院,合资/专科医院,未知
河北省,石家庄,新华区,河北医科大学第二医院,河北医科大学第二医院,公立/综合医院,三级甲等　　
河北省,石家庄,新华区,河北省华福医院,河北省华福医院,公立/综合医院,未知
河北省,石家庄,新华区,石家庄北郊监狱医院,石家庄北郊监狱医院,公立/综合医院,未知
河北省,石家庄,新华区,中国人民警察石家庄132医院,石家庄市司法医院,公立/综合医院,一级乙等
河北省,石家庄,新华区,河北太行机械厂职工医院,河北太行机械厂职工医院,公立/综合医院,一级乙等
河北省,石家庄,新华区,河北省爱心医院,河北省爱心医院,公立/综合医院,未知
河北省,石家庄,新华区,河北省优抚医院,河北省优抚医院,公立/综合医院,二级甲等
河北省,石家庄,新华区,河北省肢残康复中心,河北省肢残康复中心,公立/综合医院,二级甲等
河北省,石家庄,新华区,河北红十字石家庄中西医结合医院,河北红十字石家庄中西医结合医院,公立/综合医院,二级甲等
河北省,石家庄,新华区,河北物产企业集团医院,河北物产企业集团医院,公立/综合医院,二级甲等
河北省,石家庄,新华区,平煤集团总医院,平煤集团总医院,公立/综合医院,未知
河北省,石家庄,新华区,石家庄精和门诊部,石家庄精和门诊部,公立/专科医院,未知
河北省,石家庄,新华区,石家庄宣德中医院,石家庄宣德中医院,民营/综合医院,民营医院
河北省,石家庄,新华区,石家庄脑系医院,石家庄长庚脑瘫研究所,公立/综合医院,一级甲等
河北省,石家庄,新华区,石家庄第一塑料厂职工医院,石家庄第一塑料厂职工医院,公立/综合医院,一级甲等
河北省,石家庄,新华区,石家庄车辆厂医院,石家庄车辆厂医院,公立/综合医院,一级甲等
河北省,石家庄,新华区,中国人民解放军第六四-０工厂职工医院,中国人民解放军第六四-０工厂职工医院,公立/综合医院,一级甲等
河北省,石家庄,新华区,石家庄市心脑血管病研究所,石家庄市心脑血管病研究所,公立/综合医院,一级甲等
