省,市,区,全名,别名,性质,等级
河北省,石家庄,辛集市,辛集市新垒头镇卫生院,辛集市心理卫生医院,公立/综合医院,一级甲等
河北省,石家庄,辛集市,华北石油辛集矿区医院,华北石油辛集矿区医院,公立/综合医院,一级甲等
河北省,石家庄,辛集市,辛集市精神病医院,辛集市精神病医院,公立/综合医院,未知
河北省,石家庄,辛集市,辛集复明眼科医院,辛集复明眼科医院,民营/专科医院,未知
河北省,石家庄,辛集市,辛集市妇幼保健院,辛集市妇幼保健院,公立/专科医院,一级甲等
河北省,石家庄,辛集市,辛集市中医院,辛集市中医院,公立/综合医院,二级甲等
河北省,石家庄,辛集市,辛集市第三医院,辛集市第三医院,公立/综合医院,二级甲等
河北省,石家庄,辛集市,辛集市第二医院,辛集市第二医院,公立/综合医院,二级甲等
河北省,石家庄,辛集市,辛集市第一医院,辛集市第一医院,公立/综合医院,二级甲等
河北省,石家庄,辛集市,和平复明眼科医院,和平复明眼科医院,民营/综合医院,二级甲等
河北省,石家庄,辛集市,辛集仁爱医院,辛集仁爱医院,个体户/综合医院,未知
河北省,石家庄,辛集市,辛集协和门诊部,辛集协和医院,其他/综合医院,未评级
河北省,石家庄,辛集市,河北省辛集市中医院,河北省辛集市中医院,公立/综合医院,未知
河北省,石家庄,辛集市,河北省辛集市第一医院,河北省辛集市第一医院,公立/综合医院,二级甲等
河北省,石家庄,辛集市,辛集复明医院,辛集复明眼科医院,公立/专科医院,民营医院
