省,市,区,全名,别名,性质,等级
河北省,石家庄,藁城市,石家庄九洲中西医结合皮肤病医院,石家庄尖锐湿疣医院,合资/专科医院,民营医院
河北省,石家庄,藁城市,中国石化石家庄炼油厂医院,中国石化石家庄炼油厂医院,公立/综合医院,二级甲等
河北省,石家庄,藁城市,藁城市廉州医院,藁城市廉州医院,公立/综合医院,二级甲等
河北省,石家庄,藁城市,藁城市人民医院,藁城市人民医院,公立/综合医院,二级甲等
河北省,石家庄,藁城市,藁城市康复医院,藁城市康复医院,公立/综合医院,二级甲等
河北省,石家庄,藁城市,藁城市糖尿病医院,藁城市糖尿病医院,公立/综合医院,二级甲等
河北省,石家庄,藁城市,藁城市中西医结合医院,藁城市中西医结合医院,公立/综合医院,二级甲等
河北省,石家庄,藁城市,藁城市妇幼保健院,藁城市妇幼保健院,公立/综合医院,一级甲等
河北省,石家庄,藁城市,河北省藁城市中西医结合医院,河北省藁城市中西医结合医院,其他/综合医院,二级甲等
河北省,石家庄,藁城市,河北省藁城市人民医院,河北省藁城市人民医院,公立/综合医院,二级甲等
河北省,石家庄,藁城市,石家庄炼油厂职工医院,石家庄炼油厂职工医院,公立/综合医院,二级甲等
