省,市,区,全名,别名,性质,等级
河北省,唐山市,路北区,唐山同仁医院,唐山不孕不育医院,合资/综合医院,未评级
河北省,唐山市,路北区,华北煤炭医学院中西医结合医院,华北煤炭医学院中西医结合医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山京城皮肤病医院,唐山京城皮肤病医院,民营/专科医院,民营医院
河北省,唐山市,路北区,武警河北总队唐山医院,武警河北总队唐山医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山铁路医院,唐山铁路医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,中国人民解放军五二八三一部队专科医院,中国人民解放军五二八三一部队专科医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,中国建筑二局职工医院,中国建筑二局职工医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,华北煤炭医学院附属医院,华北煤炭医院,公立/综合医院,三级甲等　　
河北省,唐山市,路北区,唐钢建筑工程公司医院,唐钢建筑工程公司医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山市第八人民医院唐山陶瓷集团有限公司医院,唐山市第八人民医院唐山陶瓷集团有限公司医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山市结核病防治所,唐山市结核病防治所,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山市颈肩腰腿痛专科医院,唐山市中医院分院,公立/综合医院,一级甲等
河北省,唐山市,路北区,铁道部第一工程局职工医院,铁道部第一工程局职工医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,华北煤炭医学院附属医院分院,华北煤炭医学院附属医院分院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山市脑血管病医院,唐山市脑血管病医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,开滦（集团）有限责任公司医院,开滦（集团）有限责任公司医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山中都白癜风医院,唐山白癜风医院,其他/专科医院,未知
河北省,唐山市,路北区,河北联合大学附属医院,华北煤炭医学院附属医院,公立/综合医院,三级甲等　　
河北省,唐山市,路北区,开滦医院,开滦医院,公立/综合医院,三级甲等　　
河北省,唐山市,路北区,唐山京顺中医医院,唐山京顺中医堂,民营/综合医院,民营医院
河北省,唐山市,路北区,唐山新时代妇儿医院,新时代妇儿医院,民营/专科医院,未评级
河北省,唐山市,路北区,唐山曙光男科医院,唐山男科医院,民营/专科医院,民营医院
河北省,唐山市,路北区,唐山华夏中西医结合医院,华夏中西医结合医院,民营/综合医院,民营医院
河北省,唐山市,路北区,唐山中西医医院,唐山中西医医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山市按摩医院,唐山市按摩医院,公立/综合医院,未知
河北省,唐山市,路北区,唐山马耐医院,唐山马耐医院,公立/综合医院,未知
河北省,唐山市,路北区,唐山市安康医院,唐山市安康医院,公立/综合医院,未知
河北省,唐山市,路北区,唐山市商业医院,唐山市商业医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山水泥机械厂职工医院,唐山水泥机械厂职工医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山三友集团有限公司职工医院,唐山三友集团有限公司职工医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山钢铁集团有限公司医院,唐山钢铁集团有限公司医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山秀梅脑中风专科医院,唐山秀梅脑中风专科医院,民营/专科医院,二级甲等
河北省,唐山市,路北区,唐山市中西医结合医院,唐山市中西医结合医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市新区妇幼保健站,唐山市新区妇幼保健站,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市路北区妇幼保健站,唐山市路北区妇幼保健站,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市路北区卫协医院,唐山市路北区卫协医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市职业病防治医院,唐山市职业病防治医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市第十一医院,唐山市第十一医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市第九医院,唐山市第九医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市第八医院,唐山陶瓷集团有限公司医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市第七医院,唐山市传染病院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市利明医院,唐山妇产科医院、唐山妇产医院,民营/综合医院,二级甲等
河北省,唐山市,路北区,唐山市康复医疗中心,唐山市康复医疗中心,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市中医院,唐山市中医院,公立/综合医院,三级甲等　　
河北省,唐山市,路北区,唐山市第六医院,唐山市妇幼保健院,公立/综合医院,三级甲等　　
河北省,唐山市,路北区,河北医科大附属唐山工人医院,唐山工人医院,公立/综合医院,三级甲等　　
河北省,唐山市,路北区,健民肿瘤研究所肿瘤医院,健民肿瘤研究所肿瘤医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山市公安局安康医院,唐山市公安局安康医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山眼科医院,唐山眼科医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市路北红十字会,唐山市路北红十字会,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山市工人医院集团第九医院,唐山市工人医院集团第九医院,公立/综合医院,二级甲等
河北省,唐山市,路北区,唐山冀东眼科医院,唐山冀东眼科医院,民营/专科医院,民营医院
河北省,唐山市,路北区,唐山男健医院,唐山男健男科医院,民营/专科医院,未评级
河北省,唐山市,路北区,唐山红十字妇产医院,唐山红十字妇产医院,民营/综合医院,未知
河北省,唐山市,路北区,唐山市中医医院,唐山市中医医院,公立/综合医院,一级甲等
河北省,唐山市,路北区,唐山凤凰妇科医院,唐山妇科医院,民营/专科医院,民营医院
河北省,唐山市,路北区,唐山男科医院（唐山现代男科医院）,唐山男科医院,民营/专科医院,二级甲等
