省,市,区,全名,别名,性质,等级
河北省,唐山市,路南区,唐山现代男科医院,唐山男科医院,民营/专科医院,未知
河北省,唐山市,路南区,解放军第二五五医院,唐山255医院泌尿男科,公立/综合医院,三级甲等　　
河北省,唐山市,路南区,唐山冀东妇产医院,唐山女子医院,民营/综合医院,未知
河北省,唐山市,路南区,健民肿瘤研究路肿瘤医院,健民肿瘤研究路肿瘤医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,唐山市卫生学校附属医院,唐山市卫生学校附属医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,唐山市友谊医院,唐山市友谊医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,铁道部第一工程局唐山医院,铁道部第一工程局唐山医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,开滦精神卫生中心,开滦精神卫生中心,公立/综合医院,一级甲等
河北省,唐山市,路南区,唐山市建筑陶瓷厂医院,唐山市建筑陶瓷厂医院,公立/综合医院,未知
河北省,唐山市,路南区,唐山冀东医院,唐山冀东医院,民营/综合医院,一级甲等
河北省,唐山市,路南区,唐山同济医院,唐山同济医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,唐山华新纺织集团医院,唐山华新纺织集团医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,唐山市二运集团有限公司医院,唐山市二运集团有限公司医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山市一运集团有限公司医院,唐山市一运集团有限公司医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山铁路中心医院,唐山铁路中心医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山市眼科医院,唐山市眼科医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山中西医专科医院,唐山中西医专科医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山荷花坑医院,唐山荷花坑医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山路南红十字会医院,唐山路南红十字会医院,民营/综合医院,二级甲等
河北省,唐山市,路南区,唐山平安医院,唐山平安医院,民营/综合医院,二级甲等
河北省,唐山市,路南区,唐山脉管炎医院,唐山脉管炎医院,民营/综合医院,二级甲等
河北省,唐山市,路南区,唐山复兴医院,唐山复兴医院,其他/综合医院,二级甲等
河北省,唐山市,路南区,唐山市路南区南郊医院,唐山市路南区南郊医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山市路南区卫生协会脉管炎医院,唐山市路南区卫生协会脉管炎医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山市路南区妇幼保健站,唐山市路南区妇幼保健站,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山中山医院,唐山中山医院,民营/综合医院,二级甲等
河北省,唐山市,路南区,唐山市第二医院,唐山市第二医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山骨伤医院,唐山骨伤医院,公立/专科医院,二级甲等
河北省,唐山市,路南区,唐山市农工医院,唐山市农工医院,民营/综合医院,二级甲等
河北省,唐山市,路南区,唐山市协和医院,唐山市协和医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山市第五医院,唐山市精神康复医院,公立/专科医院,一级甲等
河北省,唐山市,路南区,唐山市第四医院,唐山市肺科医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山市人民医院,唐山市人民医院,公立/综合医院,三级甲等　　
河北省,唐山市,路南区,唐山美中妇产医院,女子医院,民营/综合医院,民营医院
河北省,唐山市,路南区,唐山男科医院（京唐生殖健康医院）,唐山男科医院,民营/专科医院,未知
河北省,唐山市,路南区,唐山清华皮肤病医院,唐山皮肤病医院,其他/综合医院,未知
河北省,唐山市,路南区,唐山武警总队医院,唐山妇科微创诊疗中心,公立/综合医院,二级甲等
河北省,唐山市,路南区,华北煤炭医学院附属医院路南分院,唐山市路南区人民医院,公立/综合医院,二级甲等
河北省,唐山市,路南区,唐山市路南卫协医院,唐山微创医院,其他/综合医院,未知
河北省,唐山市,路南区,唐山肛肠医院,唐山胃肠病研究会,其他/专科医院,未评级
河北省,唐山市,路南区,开滦医疗集团,开滦医疗集团,公立/综合医院,一级甲等
河北省,唐山市,路南区,唐山友谊医院,唐山友谊医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,唐山市农工心脑血管病防治医院,唐山市农工心脑血管病防治医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,唐山市路南区医院,唐山市路南区医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,唐山英卓口腔医院,唐山市人民医院口腔医院,民营/专科医院,未知
河北省,唐山市,路南区,唐山市第十医院,唐山市第十医院,公立/综合医院,一级甲等
河北省,唐山市,路南区,华北煤炭医学院路南分院,华北煤炭医学院路南分院,公立/综合医院,二级甲等
