省,市,区,全名,别名,性质,等级
河北省,唐山市,古冶区,开滦（集团）有限责任公司林西矿医院,开滦（集团）有限责任公司林西矿医院,公立/综合医院,一级甲等
河北省,唐山市,古冶区,开滦（集团）有限责任公司赵各庄矿医院,开滦（集团）有限责任公司赵各庄矿医院,公立/综合医院,一级甲等
河北省,唐山市,古冶区,开滦（集团）范各庄矿业公司医院,开滦（集团）范各庄矿业公司医院,公立/综合医院,一级甲等
河北省,唐山市,古冶区,唐山市古冶区商业医院,唐山市古冶区商业医院,公立/综合医院,二级甲等
河北省,唐山市,古冶区,唐山市古冶区妇幼保健站,唐山市古冶区妇幼保健站,公立/综合医院,二级甲等
河北省,唐山市,古冶区,唐山市古冶区中医院,唐山市古冶区中医院,公立/综合医院,二级甲等
河北省,唐山市,古冶区,唐山市古冶区医院,唐山市古冶区医院,公立/综合医院,二级甲等
河北省,唐山市,古冶区,唐山市第三医院,唐山市第三医院,公立/综合医院,二级甲等
河北省,唐山市,古冶区,开滦（集团）有限责任公司吕家坨医院,开滦（集团）有限责任公司吕家坨医院,公立/综合医院,一级甲等
河北省,唐山市,古冶区,开滦（集团）有限责任公司唐家庄矿职工医院,开滦（集团）有限责任公司唐家庄矿职工医院,公立/综合医院,一级甲等
河北省,唐山市,古冶区,开滦（集团）有限责任公司范各庄矿业公司医院,开滦（集团）有限责任公司范各庄矿业公司医院,公立/综合医院,一级甲等
河北省,唐山市,古冶区,开滦矿务局林西矿医院,开滦矿务局林西矿医院,公立/综合医院,一级甲等
