省,市,区,全名,别名,性质,等级
河北省,唐山市,丰润区,开滦（集团）有限责任公司精神卫生医院,开滦（集团）有限责任公司精神卫生医院,公立/综合医院,一级甲等
河北省,唐山市,丰润区,唐山华新纺织集团医院(一分公司),唐山华新纺织集团医院(一分公司),公立/综合医院,一级甲等
河北省,唐山市,丰润区,冀东水泥集团公司医院,冀东水泥集团公司医院,公立/综合医院,一级甲等
河北省,唐山市,丰润区,冶金部第二十二冶职工医院,冶金部第二十二冶职工医院,公立/综合医院,一级甲等
河北省,唐山市,丰润区,天津铁路分局丰润医院,天津铁路分局丰润医院,其他/综合医院,一级甲等
河北省,唐山市,丰润区,河北省丰润县城西医院,河北省丰润县城西医院,公立/综合医院,一级甲等
河北省,唐山市,丰润区,河北省丰润县中医院,河北省丰润县中医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,河北省丰润县人民医院,河北省丰润县人民医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区铁路医院,唐山市丰润区铁路医院,公立/综合医院,一级甲等
河北省,唐山市,丰润区,唐山市丰润区交通局医院,唐山市丰润区交通局医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区城关医院,唐山市丰润区城关医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区公安局法医创伤医院,唐山市丰润区公安局法医创伤医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区股份专科医院,唐山市丰润区股份专科医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区结肠炎医院,唐山市丰润区结肠炎医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区德生医院,唐山市丰润区德生医院,民营/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市利康医院,唐山市利康医院,民营/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区肠粘连医院,唐山市丰润区肠粘连医院,民营/专科医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区妇幼保健院,唐山市丰润区妇幼保健院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区中医院,唐山市丰润区中医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区第二医院,唐山市丰润区第二医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市丰润区人民医院,唐山市丰润区人民医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山机车车辆厂医院,唐山机车车辆厂医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,唐山市东矿区中医院,唐山市东矿区中医院,公立/综合医院,二级甲等
河北省,唐山市,丰润区,中国二十二冶金医院,中国二十二冶金医院,公立/综合医院,一级甲等
河北省,唐山市,丰润区,铁道部第十八工程局第二工程处医院,铁道部第十八工程局第二工程处医院,公立/综合医院,一级甲等
