省,市,区,全名,别名,性质,等级
河北省,秦皇岛,海港区,秦皇岛女子医院,秦皇岛妇科医院,民营/专科医院,民营医院
河北省,秦皇岛,海港区,秦皇岛现代妇科,秦皇岛现代妇科,民营/专科医院,民营医院
河北省,秦皇岛,海港区,秦皇岛海港肛肠医院（民营）,秦皇岛海港肛肠医院（民营）,个体户/综合医院,未知
河北省,秦皇岛,海港区,秦皇岛经济技术开发区医院,秦皇岛经济技术开发区医院,公立/综合医院,一级甲等
河北省,秦皇岛,海港区,秦皇岛港务局港口医院,秦皇岛港务局港口医院,公立/综合医院,一级甲等
河北省,秦皇岛,海港区,秦皇岛妇幼保健院,秦皇岛市妇幼保健院,公立/妇幼保健医院,三级甲等　　
河北省,秦皇岛,海港区,秦皇岛铁路医院,秦皇岛铁路医院,公立/综合医院,一级甲等
河北省,秦皇岛,海港区,秦皇岛市公安医院,秦皇岛市公安医院,公立/综合医院,一级甲等
河北省,秦皇岛,海港区,秦皇岛利民医院（民营）,秦皇岛利民医院（民营）,公立/综合医院,一级甲等
河北省,秦皇岛,海港区,秦皇岛海港友谊医院（民营）,秦皇岛海港友谊医院（民营）,个体户/综合医院,未知
河北省,秦皇岛,海港区,秦皇岛市第三医院,秦皇岛市传染病医院,公立/综合医院,二级甲等
河北省,秦皇岛,海港区,秦皇岛市第一医院,秦皇岛市第一医院,公立/综合医院,三级甲等　　
河北省,秦皇岛,海港区,秦皇岛市骨科医院,秦皇岛市第九医院,公立/综合医院,二级甲等
河北省,秦皇岛,海港区,秦皇岛市中医医院,秦皇岛中医院,公立/综合医院,三级甲等　　
河北省,秦皇岛,海港区,秦皇岛海港老年病医院（民营）,秦皇岛海港老年病医院（民营）,个体户/综合医院,未知
河北省,秦皇岛,海港区,秦皇岛市肿瘤医院,秦皇岛市第四医院，秦皇岛肿瘤医院,公立/综合医院,二级甲等
河北省,秦皇岛,海港区,秦皇岛市耀华医院,中国耀华玻璃集团公司职工医院,公立/综合医院,二级甲等
河北省,秦皇岛,海港区,秦皇岛市脑血管病医院,秦皇岛军工医院,公立/综合医院,二级甲等
河北省,秦皇岛,海港区,秦皇岛港口医院,秦皇岛港口医院,公立/综合医院,一级甲等
河北省,秦皇岛,海港区,秦皇岛市海港医院,秦皇岛市海港医院,公立/综合医院,二级甲等
河北省,秦皇岛,海港区,秦皇岛市中医院,秦皇岛市中医院,公立/综合医院,未知
河北省,秦皇岛,海港区,海港区海港医院,海港区海港医院,公立/综合医院,二级甲等
河北省,秦皇岛,海港区,秦皇岛市海港区妇幼保健站,秦皇岛市海港区妇幼保健站,公立/妇幼保健医院,未知
河北省,秦皇岛,海港区,秦皇岛耀华玻璃厂医院,秦皇岛耀华玻璃厂医院,公立/综合医院,一级甲等
河北省,秦皇岛,海港区,秦皇岛玛丽妇产医院,玛丽医院,合资/专科医院,未评级
河北省,秦皇岛,海港区,秦皇岛友好医院,秦皇岛妇科医院,民营/综合医院,未评级
