省,市,区,全名,别名,性质,等级
河北省,邯郸市,丛台区,邯郸现代丽人医院,邯郸现代女子医院,民营/专科医院,民营医院
河北省,邯郸市,丛台区,丛台区中医院,丛台区中医院,公立/中医医院,一级甲等
河北省,邯郸市,丛台区,河北工程大学附属医院,河北工程大学临床医学院，邯郸市医专附院,公立/综合医院,三级甲等　　
河北省,邯郸市,丛台区,邯邢矿山局总医院,邯邢矿山局总医院,个体户/综合医院,二级甲等
河北省,邯郸市,丛台区,邯郸长征医院,邯郸建工局医院,公立/综合医院,未知
河北省,邯郸市,丛台区,邯郸京都白癜风医院,邯郸京都白癜风医院,民营/专科医院,未知
河北省,邯郸市,丛台区,邯郸第三棉纺织有限公司职工医院,邯郸第三棉纺织有限公司职工医院,公立/综合医院,一级甲等
河北省,邯郸市,丛台区,邯邢矿务局职工总医院,邯邢矿务局职工总医院,公立/综合医院,一级甲等
河北省,邯郸市,丛台区,邯郸现代丽人整形美容医院,丽人华美整形美容医院,民营/专科医院,二级甲等
河北省,邯郸市,丛台区,邯郸纺织职工总医院,邯郸纺织职工总医院,公立/综合医院,二级甲等
河北省,邯郸市,丛台区,邯郸市丛台区康复医院,邯郸市丛台区康复医院,其他/综合医院,未知
河北省,邯郸市,丛台区,邯郸市口腔医院,邯郸市口腔医院,公立/专科医院,二级甲等
河北省,邯郸市,丛台区,邯郸荣耀心血管病医院,邯郸荣耀心血管病医院,民营/综合医院,三级甲等　　
河北省,邯郸市,丛台区,邯郸市第一医院,邯郸市第一医院,公立/综合医院,三级甲等　　
河北省,邯郸市,丛台区,河北工程学院附属医院,河北工程学院附属医院,公立/综合医院,三级甲等　　
河北省,邯郸市,丛台区,邯郸市丛台区中医院,邯郸市丛台区中医院,公立/综合医院,二级甲等
河北省,邯郸市,丛台区,邯郸东方中医皮肤病医院,邯郸东方中医皮肤病医院,民营/综合医院,未知
河北省,邯郸市,丛台区,邯郸肝病医院,邯郸朝阳肝病医院,公立/综合医院,未知
河北省,邯郸市,丛台区,邯郸安定精神病医院,邯郸安定精神病医院,民营/综合医院,未知
河北省,邯郸市,丛台区,邯郸红石医院,邯郸红石医院,民营/综合医院,未知
河北省,邯郸市,丛台区,邯郸康复精神病医院,邯郸康复精神病医院,民营/综合医院,未知
河北省,邯郸市,丛台区,邯郸市中医骨科医院,邯郸市中医骨科医院,民营/专科医院,未知
河北省,邯郸市,丛台区,邯郸市机械业局职工医院,邯郸市机械业局职工医院,公立/综合医院,未知
河北省,邯郸市,丛台区,邯郸市法医院,邯郸市法医院,公立/综合医院,未知
河北省,邯郸市,丛台区,邯郸县妇幼保健站,邯郸县妇幼保健站,公立/综合医院,未知
河北省,邯郸市,丛台区,邯郸县医院,邯郸县医院,公立/综合医院,未知
河北省,邯郸市,丛台区,邯郸市发达纺织集团公司职工总医院,邯郸市发达纺织集团公司职工总医院,公立/综合医院,未知
河北省,邯郸市,丛台区,邯郸县第二医院,邯郸县第二医院,公立/综合医院,一级甲等
河北省,邯郸市,丛台区,邯郸市第三建筑公司职工医院,邯郸市第三建筑公司职工医院,公立/综合医院,一级甲等
河北省,邯郸市,丛台区,邯郸市机械电子工业局职工医院,邯郸市机械电子工业局职工医院,公立/综合医院,未知
河北省,邯郸市,丛台区,邯郸同济医院,邯郸同济医院,民营/综合医院,二级乙等
河北省,邯郸市,丛台区,邯郸建工集团有限公司职工医院,邯郸建工集团有限公司职工医院,公立/综合医院,二级甲等
河北省,邯郸市,丛台区,邯郸冶金矿山管理局职工总医院,邯郸冶金矿山管理局职工总医院,公立/综合医院,二级甲等
河北省,邯郸市,丛台区,邯郸市纺织职工总医院,邯郸市纺织职工总医院,公立/综合医院,二级甲等
河北省,邯郸市,丛台区,邯郸肝病医院,邯郸朝阳肝病医院,民营/专科医院,民营医院
河北省,邯郸市,丛台区,邯郸都市妇科医院,邯郸妇科医院,民营/专科医院,二级甲等
