省,市,区,全名,别名,性质,等级
河北省,邯郸市,邯山区,河北省邯郸市马头镇医院,邯郸市马头镇医院,公立/综合医院,一级甲等
河北省,邯郸市,邯山区,邯郸钱氏中医精神病医院,邯郸钱氏中医精神病医院,民营/专科医院,未知
河北省,邯郸市,邯山区,中国人民解放军二八五医院,中国人民解放军二八五医院,公立/综合医院,一级甲等
河北省,邯郸市,邯山区,邯郸市电力医院,邯郸市电力医院,公立/综合医院,一级甲等
河北省,邯郸市,邯山区,邯郸市传染病医院,邯郸市传染病医院,公立/综合医院,一级甲等
河北省,邯郸市,邯山区,邯郸市华丹骨科医院,邯郸市华丹骨科医院,民营/专科医院,未知
河北省,邯郸市,邯山区,邯郸蓝天骨科医院,蓝天骨科,民营/专科医院,未知
河北省,邯郸市,邯山区,邯郸市邯山区医院,邯郸市邯山区医院,公立/综合医院,一级甲等
河北省,邯郸市,邯山区,邯郸市按摩医院,邯郸市优抚医院,公立/综合医院,二级乙等
河北省,邯郸市,邯山区,邯郸电力医院,邯郸电力医院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸铁路医院,邯郸铁路医院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸钢铁集团有限责任公司职工医院,邯郸钢铁集团有限责任公司职工医院,其他/综合医院,未知
河北省,邯郸市,邯山区,邯郸手外医院,邯郸手外医院,民营/专科医院,民营医院
河北省,邯郸市,邯山区,邯郸市第六医院,邯郸市第六医院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸市第三医院,邯郸市第三医院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸市第二医院,邯郸市第二医院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸市商业职工医院,邯郸市商业职工医院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸市总工会职工医院,邯郸市总工会职工医院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸钢铁集团有限责任公司医院,邯郸钢铁集团有限责任公司医院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸市妇幼保健院,邯郸市妇幼保健院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸市中西医结合医院,邯郸市中西医结合医院,公立/综合医院,二级甲等
河北省,邯郸市,邯山区,邯郸市中医院,邯郸市中医院,公立/综合医院,三级甲等　　
河北省,邯郸市,邯山区,邯郸市中心医院,邯郸市中心医院,公立/综合医院,三级甲等　　
河北省,邯郸市,邯山区,邯郸玛丽亚妇产医院,邯郸玛丽亚医院,民营/专科医院,民营医院
河北省,邯郸市,邯山区,邯郸康复中医院,静脉曲张专科,合资/综合医院,二级甲等
