省,市,区,全名,别名,性质,等级
河北省,邯郸市,峰峰矿区,蓝天医院,蓝天医院,民营/门诊,民营医院
河北省,邯郸市,峰峰矿区,河北华玉股份有限公司第一分公司职工医院,河北华玉股份有限公司第一分公司职工医院,公立/综合医院,未知
河北省,邯郸市,峰峰矿区,河北太行集团公司职工医院,河北太行集团公司职工医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,邯郸冶金矿山管理局西石门玉石洼铁矿职工医院,邯郸冶金矿山管理局西石门玉石洼铁矿职工医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,邯郸陶瓷集团总公司职工医院,邯郸陶瓷集团总公司职工医院,公立/综合医院,二级乙等
河北省,邯郸市,峰峰矿区,峰峰公司集团第二医院河北工程学院附属第二医院,峰峰公司集团第二医院河北工程学院附属第二医院,公立/综合医院,二级甲等
河北省,邯郸市,峰峰矿区,峰峰矿务局第一医院,峰峰矿务局第一医院,公立/综合医院,三级甲等　　
河北省,邯郸市,峰峰矿区,峰峰集团公司万年矿职工医院,峰峰集团公司万年矿职工医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰集团小屯矿医院,峰峰集团小屯矿医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰集团公司羊渠矿职工医院,峰峰集团公司羊渠矿职工医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰集团第二医院河北工程学院附属第二医院,峰峰集团第二医院河北工程学院附属第二医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰集团公司六十三处医院,峰峰集团公司六十三处医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰集团公司妇幼保健院,峰峰集团公司妇幼保健院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,邯郸市峰峰矿区妇幼保健院,邯郸市峰峰矿区妇幼保健院,公立/妇幼保健医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰矿务局薛村矿医院,峰峰矿务局薛村矿医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰集团万年矿职工医院,峰峰集团万年矿职工医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,邯郸市第四医院,邯郸市第四医院,公立/综合医院,二级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局黄沙矿医院,河北省峰峰矿务局黄沙矿医院,其他/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局通二矿医院,河北省峰峰矿务局通二矿医院,民营/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局孙庄矿医院,河北省峰峰矿务局孙庄矿医院,其他/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局小屯矿医院,河北省峰峰矿务局小屯矿医院,民营/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局精神卫生中心,河北省峰峰矿务局精神卫生中心,公立/专科医院,一级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局牛儿庄矿医院,河北省峰峰矿务局牛儿庄矿医院,其他/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局三矿医院,河北省峰峰矿务局三矿医院,民营/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局羊渠河矿医院,河北省峰峰矿务局羊渠河矿医院,民营/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局六十三处医院,河北省峰峰矿务局六十三处医院,其他/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,河北省峰峰矿务局第二医院,河北省峰峰矿务局第二医院,公立/综合医院,二级甲等
河北省,邯郸市,峰峰矿区,峰峰矿务局总医院,峰峰矿务局总医院,公立/综合医院,三级甲等　　
河北省,邯郸市,峰峰矿区,峰峰集团三矿职工医院,峰峰集团三矿职工医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰矿务局牛二庄矿医院,峰峰矿务局牛二庄矿医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰矿务局孙庄矿医院,峰峰矿务局孙庄矿医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰矿务局第二医院,峰峰矿务局第二医院,公立/综合医院,二级甲等
河北省,邯郸市,峰峰矿区,峰峰集团公司孙庄矿职工医院,峰峰集团公司孙庄矿职工医院,公立/综合医院,一级甲等
河北省,邯郸市,峰峰矿区,峰峰集团妇幼保健院,峰峰集团妇幼保健院,公立/综合医院,一级甲等
