省,市,区,全名,别名,性质,等级
河北省,邢台市,桥东区,邢台协和医院,邢台市公益总会协和医院,民营/综合医院,民营医院
河北省,邢台市,桥东区,邢台中山医院,邢台中山妇产医院,民营/专科医院,未知
河北省,邢台市,桥东区,邢台市第二医院,北京地坛医院邢台分院,公立/综合医院,未知
河北省,邢台市,桥东区,邢台县工农医院,邢台县工农医院,公立/综合医院,一级甲等
河北省,邢台市,桥东区,邢台冶金职工医院,邢台冶金职工医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市桥东区风湿病医院,邢台市桥东区风湿病医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市桥东区烧伤医院,邢台市桥东区烧伤医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市桥东区精神病医院,邢台市桥东区精神病医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市桥东区妇幼保健所,邢台市桥东区妇幼保健所,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市桥东区医院,邢台市桥东区医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市公安医院,邢台市公安医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市康宁医院,邢台市康宁医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,东方神功邢台康复医院,东方神功邢台康复医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台不孕不育专科医院,邢台生殖与遗传专科医院,民营/专科医院,未知
河北省,邢台市,桥东区,邢台市眼科医院,邢台市眼科医院,公立/专科医院,二级甲等
河北省,邢台市,桥东区,邢台聋哑康复医院,邢台聋哑康复医院,民营/综合医院,二级甲等
河北省,邢台市,桥东区,邢台爱心医院,邢台爱心医院,民营/综合医院,二级甲等
河北省,邢台市,桥东区,邢台脑系专科医院,邢台脑系专科医院,民营/专科医院,二级甲等
河北省,邢台市,桥东区,邢台市中医院,邢台市中医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市第四医院,邢台市第四医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台钢铁有限责任公司职工医院,邢台钢铁有限责任公司职工医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市第一医院,邢台市第一医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市人民医院,邢台市人民医院,公立/综合医院,三级甲等　　
河北省,邢台市,桥东区,邢台华肤皮肤病医院,邢台皮肤病医院,其他/专科医院,未知
河北省,邢台市,桥东区,邢台骨科医院,邢台红十字基金会邢台医院,民营/综合医院,未知
河北省,邢台市,桥东区,邢台广慈医院,泌尿专科医院,民营/综合医院,未知
河北省,邢台市,桥东区,邢台妇科医院,邢台妇科医院,民营/专科医院,民营医院
河北省,邢台市,桥东区,河北省荣誉军人康复医院,河北省荣誉军人康复医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台市东大肛肠病研究所,邢台东大肛肠研究所,其他/门诊,未评级
河北省,邢台市,桥东区,邢台中医类风湿专科医院,邢台健强医院,其他/专科医院,未评级
河北省,邢台市,桥东区,邢台中西医结合医院,邢台第四医院,其他/综合医院,二级乙等
河北省,邢台市,桥东区,邢台华夏医院,邢台生殖健康专科医院,其他/专科医院,未知
河北省,邢台市,桥东区,邢台和平医院,邢台和平医院,公立/综合医院,二级甲等
河北省,邢台市,桥东区,邢台现代医院,邢台现代生殖医院,公立/专科医院,民营医院
