省,市,区,全名,别名,性质,等级
河北省,邢台市,桥西区,邢台县医院,邢台县医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市心血管病医院,邢台市心血管病医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台矿业集团公司邢台矿医院,邢台矿业集团公司邢台矿医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台矿业集团总医院,邢台矿业集团总医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市桥西区精神病医院,邢台市桥西区精神病医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市桥西区妇幼保健站,邢台市桥西区妇幼保健站,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市桥西区第二医院,邢台市桥西区第二医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市桥西医院,邢台市桥西医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市聋哑医院,邢台市聋哑医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市结核病防治所,邢台市结核病防治所,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市桥西区南小汪兰痔瘘医院,邢台市桥西区南小汪兰痔瘘医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市骨科医院,邢台骨科医院,其他/专科医院,未知
河北省,邢台市,桥西区,邢台西郊医院,邢台西郊医院,民营/综合医院,二级甲等
河北省,邢台市,桥西区,邢台腰椎间盘突出症医院,邢台腰椎间盘突出症医院,民营/专科医院,二级甲等
河北省,邢台市,桥西区,邢台胃病专科医院,邢台胃病专科医院,民营/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市妇幼保健院,邢台市妇幼保健院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,河北省复员军人医院,河北省复员军人医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台妇产医院,邢台女子医院,民营/专科医院,未知
河北省,邢台市,桥西区,邢台医专第二附属医院,邢台医专第二附属医院,公立/综合医院,三级甲等　　
河北省,邢台市,桥西区,邢台长征医院,邢台长征医院胃肠诊疗中心,其他/综合医院,未知
河北省,邢台市,桥西区,邢台市桥西区医院,邢台市桥西区医院,公立/综合医院,二级乙等
河北省,邢台市,桥西区,邢台县妇幼保健站,邢台县妇幼保健站,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台县第三医院,邢台县第三医院,公立/综合医院,二级甲等
河北省,邢台市,桥西区,邢台市第三医院,邢台市第三医院,公立/综合医院,二级甲等
