省,市,区,全名,别名,性质,等级
河北省,邢台市,南宫市,南宫市凤岗办普济桥村卫生所,南宫市凤岗办普济桥村卫生所,民营/综合医院,一级甲等
河北省,邢台市,南宫市,河北省南宫市妇幼保健院,河北省南宫市妇幼保健院,公立/综合医院,未知
河北省,邢台市,南宫市,河北省南宫市中医院,河北省南宫市中医院,其他/综合医院,未知
河北省,邢台市,南宫市,河北省南宫市人民医院,河北省南宫市人民医院,公立/综合医院,二级甲等
河北省,邢台市,南宫市,南宫市肿瘤医院,南宫市肿瘤医院,公立/专科医院,二级甲等
河北省,邢台市,南宫市,南宫红十字肿瘤医院,南宫红十字肿瘤医院,民营/专科医院,二级甲等
河北省,邢台市,南宫市,南宫市中医院,南宫市中医院,公立/综合医院,二级甲等
河北省,邢台市,南宫市,南宫市第二人民医院,南宫市第二人民医院,公立/综合医院,二级甲等
河北省,邢台市,南宫市,南宫市人民医院,南宫市人民医院,公立/综合医院,二级甲等
河北省,邢台市,南宫市,河北省新乐荣军精神病医院,河北省新乐荣军精神病医院,公立/综合医院,二级甲等
河北省,邢台市,南宫市,河北省南宫市长城医院,河北省南宫市长城医院,公立/综合医院,一级甲等
