省,市,区,全名,别名,性质,等级
河北省,邢台市,沙河市,申书祥烧伤专科医院,申书祥烧伤专科医院,民营/专科医院,未知
河北省,邢台市,沙河市,沙河市硫铁矿医院,沙河市硫铁矿医院,公立/综合医院,二级甲等
河北省,邢台市,沙河市,沙河市公安医院,沙河市公安医院,公立/综合医院,二级甲等
河北省,邢台市,沙河市,沙河市绿链医院,沙河市绿链医院,公立/综合医院,二级甲等
河北省,邢台市,沙河市,沙河市眼科中心,沙河市眼科中心,公立/综合医院,二级甲等
河北省,邢台市,沙河市,沙河市精神病院,沙河市精神病院,公立/综合医院,二级甲等
河北省,邢台市,沙河市,沙河市连城堂烧伤医院,沙河市连城堂烧伤医院,公立/综合医院,二级甲等
河北省,邢台市,沙河市,沙河市妇幼保健站,沙河市妇幼保健站,公立/综合医院,二级甲等
河北省,邢台市,沙河市,沙河市中医院,沙河市中医院,公立/综合医院,二级甲等
河北省,邢台市,沙河市,沙河市第二医院,沙河市第二医院,公立/综合医院,二级甲等
河北省,邢台市,沙河市,沙河市医院,沙河市医院,公立/综合医院,二级甲等
河北省,邢台市,沙河市,邢台市建强医院,邢台市建强医院,公立/综合医院,二级甲等
河北省,邢台市,沙河市,中国第二十冶金建设公司职工医院,中国第二十冶金建设公司职工医院,其他/综合医院,二级甲等
河北省,邢台市,沙河市,河北省沙河市中医院,河北省沙河市中医院,公立/综合医院,二级甲等
