省,市,区,全名,别名,性质,等级
河北省,保定市,北市区,保定市第三医院,保定市第三医院,公立/综合医院,一级甲等
河北省,保定市,北市区,保定市北市区妇幼保健站,保定市北市区妇幼保健站,公立/综合医院,一级甲等
河北省,保定市,北市区,保定市传染病院,保定市传染病院,公立/综合医院,一级甲等
河北省,保定市,北市区,保定市国医甲状腺颈椎病研究所,保定市国医甲状腺颈椎病研究所,公立/综合医院,一级甲等
河北省,保定市,北市区,保定铁路医院保定肛肠医院,保定铁路医院保定肛肠医院,公立/综合医院,一级甲等
河北省,保定市,北市区,中国人民解放军第二五二医院,252医院,公立/综合医院,二级甲等
河北省,保定市,北市区,保定市东华医院,保定市东华医院,公立/综合医院,一级甲等
河北省,保定市,北市区,河北省第六人民医院,河北省精神卫生中心,公立/综合医院,三级甲等　　
河北省,保定市,北市区,保定市第三中心医院,保定市第三中心医院,公立/综合医院,二级甲等
河北省,保定市,北市区,保定市人民医院,保定市人民医院,公立/综合医院,二级甲等
河北省,保定市,北市区,空军保定医院,空军保定医院,公立/综合医院,一级甲等
河北省,保定市,北市区,中国人民解放军51034部队桥东医院,中国人民解放军51034部队桥东医院,公立/综合医院,一级甲等
河北省,保定市,北市区,保定市第五医院,保定市第五医院,公立/综合医院,二级甲等
河北省,保定市,北市区,保定市按摩医院,保定市按摩医院,公立/综合医院,一级甲等
