省,市,区,全名,别名,性质,等级
河北省,保定市,定州市,定州市大鹿庄乡卫生院,定州市大鹿庄乡卫生院,公立/综合医院,一级甲等
河北省,保定市,定州市,定州市精神病医院,定州市第七医院,公立/综合医院,二级甲等
河北省,保定市,定州市,定州市第四医院,定州市第四医院,公立/综合医院,未知
河北省,保定市,定州市,定州市第五医院,定州市第五医院,公立/综合医院,未知
河北省,保定市,定州市,定州市第三医院,定州市第三医院,公立/综合医院,未知
河北省,保定市,定州市,定州市传染病医院,定州市传染病医院,公立/综合医院,未知
河北省,保定市,定州市,定州市中医院,定州市中医院,公立/综合医院,未知
河北省,保定市,定州市,定州市福利眼科医院,定州市福利眼科医院,公立/综合医院,二级乙等
河北省,保定市,定州市,定州市人民医院,定州市人民医院,公立/综合医院,二级甲等
河北省,保定市,定州市,定州武警部队医院,定州武警部队医院,公立/综合医院,二级甲等
河北省,保定市,定州市,定州市妇幼保健院,定州市妇幼保健院,公立/综合医院,二级甲等
河北省,保定市,定州市,定州市中心医院,定州市中心医院,公立/综合医院,二级甲等
河北省,保定市,定州市,河北省第七医院,河北一Ｏ五医院,公立/综合医院,二级甲等
河北省,保定市,定州市,定州市协和医院,定州协和医院,民营/综合医院,民营医院
河北省,保定市,定州市,河北省定州市第二医院,原定州市妇幼保健院,公立/综合医院,未知
河北省,保定市,定州市,河北省定州市中医院,河北省定州市中医院,公立/综合医院,二级医院
河北省,保定市,定州市,河北省定州市人民医院,河北省定州市人民医院,公立/综合医院,未知
