省,市,区,全名,别名,性质,等级
河北省,保定市,易县,易县梁格庄卫生院,易县梁格庄卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县西陵中心卫生院,易县西陵中心卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县安格庄乡卫生院,易县安格庄乡卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县狼牙山中心卫生院,易县管头中心卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县七峪乡卫生院,易县七峪乡卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县独乐乡卫生院,易县独乐乡卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县龙华卫生院,易县龙华卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县桥家河乡卫生院,易县桥家河乡卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县甘河净乡乡卫生院,易县甘河净乡乡卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县坡仓乡卫生院,易县坡仓乡卫生院,公立/综合医院,一级甲等
河北省,保定市,易县,易县妇幼保健院,易县妇幼保健院,公立/综合医院,未知
河北省,保定市,易县,易县肝病医院,易县肝病医院,公立/综合医院,未知
河北省,保定市,易县,易县中医院,易县中医院,公立/综合医院,未知
河北省,保定市,易县,易县医院,易县医院,公立/综合医院,二级乙等
河北省,保定市,易县,河北省易县中医院,河北省易县中医院,公立/综合医院,二级甲等
