省,市,区,全名,别名,性质,等级
河北省,张家口市,桥东区,河北北方学院附属第三医院,河北北方学院附属第三医院,公立/综合医院,二级甲等
河北省,张家口市,桥东区,张家口市口腔医院,张家口口腔医院,公立/综合医院,二级甲等
河北省,张家口市,桥东区,张家口市第二医院,张家口市第二医院,公立/综合医院,二级甲等
河北省,张家口市,桥东区,张家口市第六医院,张家口市第六医院,公立/综合医院,二级甲等
河北省,张家口市,桥东区,张家口市桥东区鱼儿山社区卫生服务站,张家口市桥东区鱼儿山社区卫生服务站,民营/门诊,民营医院
河北省,张家口市,桥东区,张家口探矿机械总厂医院,张家口探矿机械总厂医院,其他/综合医院,二级乙等
河北省,张家口市,桥东区,北京铁路分局张家口铁路医院,北京铁路分局张家口铁路医院,公立/综合医院,一级甲等
河北省,张家口市,桥东区,张家口市中医院,张家口市中医院,公立/综合医院,一级甲等
河北省,张家口市,桥东区,地矿部张家口探矿机械厂医院,地矿部张家口探矿机械厂医院,公立/综合医院,一级甲等
河北省,张家口市,桥东区,张家口创伤医院（民营）,张家口创伤医院（民营）,个体户/综合医院,一级甲等
河北省,张家口市,桥东区,张家口市交通医院,张家口市交通医院,公立/综合医院,一级甲等
河北省,张家口市,桥东区,张家口煤矿机械有限公司医院,张家口煤矿机械有限公司医院,公立/综合医院,一级甲等
河北省,张家口市,桥东区,张家口市妇幼保健院,市妇儿医院和市第三医院,公立/综合医院,二级甲等
河北省,张家口市,桥东区,张家口市建设职工医院,张家口市建设职工医院,公立/综合医院,一级甲等
河北省,张家口市,桥东区,张家口市第五医院,张家口市第五医院,公立/综合医院,一级甲等
