省,市,区,全名,别名,性质,等级
河北省,承德市,双桥区,承德医学院附属肛肠医院,承德医学院校医院,其他/专科医院,未知
河北省,承德市,双桥区,中国人民解放军第二六六医院,承德266医院,公立/综合医院,三级甲等　　
河北省,承德市,双桥区,承德九洲医院,承德九洲男科医院,民营/专科医院,未评级
河北省,承德市,双桥区,承德现代医院,承德现代男科医院,其他/其他,未知
河北省,承德市,双桥区,承德九洲医院,承德九洲医院,公立/专科医院,一级甲等
河北省,承德市,双桥区,承德都市妇科医院,承德无痛人流医院、承德人流医院、承德妇科医院,其他/专科医院,未评级
河北省,承德市,双桥区,承德冀华中西医结合医院,承德中西医结合医院,其他/专科医院,未评级
河北省,承德市,双桥区,承德现代医院,承德泌尿专科医院,其他/专科医院,未评级
河北省,承德市,双桥区,承德九洲医院,承德九洲医院,公立/综合医院,二级乙等
河北省,承德市,双桥区,承德市第五医院,承德铁路医院,公立/综合医院,二级甲等
河北省,承德市,双桥区,承德市双桥区妇幼保健院,承德市双桥区妇幼保健院,公立/综合医院,二级甲等
河北省,承德市,双桥区,承德市双桥区中西结合医院,承德中西医结合医院,民营/专科医院,未知
河北省,承德市,双桥区,承德市精神病防治中心,承德市精神病防治中心,公立/综合医院,二级甲等
河北省,承德市,双桥区,承德市北方医院,承德市北方医院,民营/综合医院,二级甲等
河北省,承德市,双桥区,承德市第二康复医院,承德市第二康复医院,公立/综合医院,二级甲等
河北省,承德市,双桥区,承德康复医院,承德康复医院,公立/综合医院,二级甲等
河北省,承德市,双桥区,承德市妇幼保健院,承德市妇幼保健院,公立/综合医院,二级甲等
河北省,承德市,双桥区,承德市荣复军人医院,承德市荣复军人医院,公立/综合医院,二级甲等
河北省,承德市,双桥区,承德市骨伤病医院,承德市骨伤病医院,公立/综合医院,二级甲等
河北省,承德市,双桥区,承德医学院第二附属医院,承德医学院第二附属医院,公立/综合医院,三级甲等　　
河北省,承德市,双桥区,承德医学院附属医院,承德医学院附属医院,公立/综合医院,三级甲等　　
河北省,承德市,双桥区,承德安康医院,承德市心理专科医院,公立/专科医院,二级甲等
