省,市,区,全名,别名,性质,等级
河北省,沧州市,任丘市,任丘市中医院,任丘市中医院,公立/综合医院,未知
河北省,沧州市,任丘市,任丘市妇幼保健院,任丘市妇幼保健院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,任丘市人民医院,任丘市人民医院,公立/综合医院,二级甲等
河北省,沧州市,任丘市,任丘友谊创伤骨科医院,任丘友谊创伤骨科医院,民营/专科医院,二级甲等
河北省,沧州市,任丘市,任丘市急救中心,任丘市急救中心,公立/综合医院,二级甲等
河北省,沧州市,任丘市,任丘创伤骨科医院,任丘创伤骨科医院,民营/专科医院,二级甲等
河北省,沧州市,任丘市,任丘法医医院,任丘法医医院,民营/综合医院,二级甲等
河北省,沧州市,任丘市,任丘市肿瘤医院,任丘市肿瘤医院,民营/专科医院,二级甲等
河北省,沧州市,任丘市,华北石油管理局第二油田建设工程公司医院,华北石油管理局第二油田建设工程公司医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,任丘市友谊医院,任丘市友谊医院,公立/综合医院,未知
河北省,沧州市,任丘市,华北石油管理局第一钻井工程公司医院,华北石油管理局第一钻井工程公司医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,华北石油管理局第二医院,华北石油管理局第二医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,华北石油机关医院,华北石油机关医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,华北石油管理局采一医院,华北石油管理局采一医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,华北石油中医院,华北石油中医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,华北石油管理局井下作业公司医院,华北石油管理局井下作业公司医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,中国化学工程第十三建设公司医院,中国化学工程第十三建设公司医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,华北石油管理局第三钻井工程公司医院,华北石油管理局第三钻井工程公司医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,华北石油二部医院,华北石油二部医院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,河北省任丘市妇幼保健院,河北省任丘市妇幼保健院,公立/综合医院,一级甲等
河北省,沧州市,任丘市,河北省任丘市中医院,河北省任丘市中医院,其他/综合医院,未知
河北省,沧州市,任丘市,河北省任丘市人民医院,河北省任丘市人民医院,公立/综合医院,二级甲等
