省,市,区,全名,别名,性质,等级
河北省,廊坊市,广阳区,中国石油中心医院,中国石油中心医院,公立/综合医院,三级甲等　　
河北省,廊坊市,广阳区,石油部天然气集团公司中心医院,石油部天然气集团公司中心医院,公立/综合医院,一级甲等
河北省,廊坊市,广阳区,廊坊市广阳区人民医院,廊坊市广阳区人民医院,公立/综合医院,二级甲等
河北省,廊坊市,广阳区,廊坊红十字骨伤科医院,廊坊红十字骨伤科医院,公立/综合医院,二级甲等
河北省,廊坊市,广阳区,廊坊市妇幼保健中心,廊坊市妇幼保健中心,公立/综合医院,三级甲等　　
河北省,廊坊市,广阳区,廊坊市中医院,廊坊市中医院,公立/综合医院,三级甲等　　
河北省,廊坊市,广阳区,廊坊市人民医院,廊坊市人民医院,公立/综合医院,三级甲等　　
河北省,廊坊市,广阳区,廊坊彦清骨伤科中医医院,廊坊彦清骨伤科中医医院,其他/专科医院,未知
河北省,廊坊市,广阳区,廊坊市悦美医疗美容医院,悦美整形医院,合资/门诊,未评级
河北省,廊坊市,广阳区,廊坊现代男科医院,廊坊男科医院,其他/专科医院,未知
河北省,廊坊市,广阳区,华北石油廊坊矿区第一医院,华北石油廊坊矿区第一医院,公立/综合医院,一级甲等
河北省,廊坊市,广阳区,廊坊市中心血站,廊坊市中心血站,公立/综合医院,二级甲等
河北省,廊坊市,广阳区,廊坊友谊医院,廊坊友谊医院,公立/综合医院,二级甲等
