省,市,区,全名,别名,性质,等级
河北省,廊坊市,霸州市,霸州市妇幼保健院,霸州市妇幼保健院,公立/妇幼保健医院,一级甲等
河北省,廊坊市,霸州市,霸州东方医院,霸州东方医院,民营/综合医院,未评级
河北省,廊坊市,霸州市,霸州市第三医院,霸州市第三医院,公立/综合医院,未知
河北省,廊坊市,霸州市,霸州市中医院,霸州市中医院,公立/综合医院,二级甲等
河北省,廊坊市,霸州市,霸州市第二医院,霸州市第二医院,公立/综合医院,二级甲等
河北省,廊坊市,霸州市,廊坊市第四人民医院,霸州市第一医院,公立/综合医院,二级甲等
河北省,廊坊市,霸州市,霸州市眼科医院,霸州市眼科医院,公立/眼科医院,未知
河北省,廊坊市,霸州市,霸州市骨伤科医院,霸州市骨伤科医院,公立/骨伤医院,未知
河北省,廊坊市,霸州市,廊坊市第四医院霸州市第一医院,廊坊市第四医院霸州市第一医院,公立/综合医院,二级甲等
河北省,廊坊市,霸州市,霸州市第一医院,霸州市第一医院,公立/综合医院,二级甲等
河北省,廊坊市,霸州市,霸州市公安医院,霸州市公安医院,公立/综合医院,未知
河北省,廊坊市,霸州市,河北省霸州市第一医院,河北省霸州市第一医院,公立/综合医院,二级甲等
河北省,廊坊市,霸州市,霸州市老年病医院,霸州市老年病医院,公立/综合医院,未知
