省,市,区,全名,别名,性质,等级
山西省,太原市,杏花岭区,山西老龄医院,山西老龄二院,其他/专科医院,未知
山西省,太原市,杏花岭区,太原中山生殖医学医院,太原中山医院,民营/综合医院,民营医院
山西省,太原市,杏花岭区,太原传染病医院山西省疾病预防控制中心,山西疾控,公立/综合医院,未知
山西省,太原市,杏花岭区,山西贞德妇儿医院,山西贞德妇儿医院,其他/专科医院,未评级
山西省,太原市,杏花岭区,太原同济医院,太原同济医院,民营/专科医院,民营医院
山西省,太原市,杏花岭区,山西中北能源机械有限责任公司职工医院,山西中北能源机械有限责任公司职工医院,公立/综合医院,一级乙等
山西省,太原市,杏花岭区,机床东社区卫生服务站,机床东社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,机床西社区卫生服务站,机床西社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,晋安西街社区卫生服务站,晋安西街社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,七一社区卫生服务站,七一社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,敦化坊社区卫生服务站,敦化坊社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,七府园社区卫生服务站,七府园社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,柏杨树社区卫生服务站,柏杨树社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,同煦园社区卫生服务站,同煦园社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,白桦苑社区卫生服务站,白桦苑社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,耐火社区卫生服务站,耐火社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,锦绣苑社区卫生服务站,锦绣苑社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,花南社区卫生服务站,花南社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,建设北路南社区卫生服务站,建设北路南社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,新源里南社区卫生服务站,新源里南社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,五龙口社区卫生服务站,五龙口社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,杏花岭区社区卫生服务站,杏花岭区社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,东华门社区卫生服务站,东华门社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,东边街社区卫生服务站,东边街社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,迎春社区卫生服务站,迎春社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,赛马场社区卫生服务站,赛马场社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,小东关社区卫生服务站,小东关社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,响水湾社区卫生服务站,响水湾社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,剪子湾社区卫生服务站,剪子湾社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,东华苑社区卫生服务站,东华苑社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,享堂社区卫生服务站,享堂社区卫生服务站,其他/其他,未知
山西省,太原市,杏花岭区,杏花岭区疾病预防控制中心,杏花岭区疾病预防控制中心,其他/其他,未知
山西省,太原市,杏花岭区,小返乡卫生院,小返乡卫生院,其他/其他,未知
山西省,太原市,杏花岭区,杨家峪卫生院,杨家峪卫生院,其他/其他,未知
山西省,太原市,杏花岭区,中涧河乡卫生院,中涧河乡卫生院,其他/其他,未知
山西省,太原市,杏花岭区,山西省戒毒康复医院,山西省戒毒康复医院,其他/专科医院,二级医院
山西省,太原市,杏花岭区,太原市杏花岭区中医医院,太原市杏花岭区中医医院,公立/综合医院,二级乙等
山西省,太原市,杏花岭区,太原市中医医院,太原市中医医院,公立/综合医院,三级乙等
山西省,太原市,杏花岭区,山西医科大学第二医院,山西医科大学第二医院,公立/综合医院,三级甲等　　
山西省,太原市,杏花岭区,山西机器厂职工医院,山西机器厂职工医院,公立/综合医院,一级甲等
山西省,太原市,杏花岭区,民革太原中山创伤医院,民革太原中山创伤医院,公立/综合医院,一级甲等
山西省,太原市,杏花岭区,太原市杏花岭区康复医院,太原市杏花岭区康复医院,公立/综合医院,未知
山西省,太原市,杏花岭区,太原协和医院,太原协和医院,个体户/综合医院,未知
山西省,太原市,杏花岭区,太原中亚中医医院,太原中亚中医医院,公立/专科医院,未知
山西省,太原市,杏花岭区,中国第十三冶金建设公司职工医院,中国第十三冶金建设公司职工医院,公立/综合医院,一级甲等
山西省,太原市,杏花岭区,太原市儿童医院,太原市儿童医院,公立/综合医院,一级甲等
山西省,太原市,杏花岭区,太原市杏花岭区创伤骨科医院,太原市杏花岭区创伤骨科医院,公立/骨科医院,一级甲等
山西省,太原市,杏花岭区,山西省创伤骨科医院,山西省创伤骨科医院,公立/专科医院,未知
山西省,太原市,杏花岭区,山西省结核病防治研究所中医门诊部,山西省结核病防治研究所中医门诊部,公立/专科医院,未知
山西省,太原市,杏花岭区,山西省华医皮肤性病研究所,山西省华医皮肤性病研究所,公立/专科医院,未知
山西省,太原市,杏花岭区,太原市口腔医院,太原市口腔医院,公立/专科医院,未知
山西省,太原市,杏花岭区,山西红十字口腔医院,山西红十字口腔医院,公立/专科医院,未知
山西省,太原市,杏花岭区,太原市脉管炎医院,太原市脉管炎医院,公立/专科医院,未知
山西省,太原市,杏花岭区,太原中亚中医专科医院,太原中亚中医专科医院,公立/专科医院,未知
山西省,太原市,杏花岭区,稷山痔瘘医院太原分院,稷山痔瘘医院太原分院,公立/综合医院,未知
山西省,太原市,杏花岭区,太原市南城区人民医院,太原市南城区人民医院,公立/综合医院,未知
山西省,太原市,杏花岭区,太原市南城区中医院,太原市南城区中医院,公立/综合医院,未知
山西省,太原市,杏花岭区,太原市杏花岭区妇幼保健所,太原市杏花岭区妇幼保健所,公立/综合医院,未知
山西省,太原市,杏花岭区,山西林武激光专科医院,山西林武激光专科医院,公立/专科医院,未知
山西省,太原市,杏花岭区,太原市三针治瘫医院,太原市三针治瘫医院,公立/专科医院,未知
山西省,太原市,杏花岭区,中华医学会山西分会脊椎病医院,中华医学会山西分会脊椎病医院,公立/专科医院,未知
