省,市,区,全名,别名,性质,等级
山西省,太原市,迎泽区,太原龙城白癜风医院,太原中医白癜风医院_太原白癜风专科医院,其他/其他,二级甲等
山西省,太原市,迎泽区,太原九龙泌尿外科医院,太原九龙男科医院,民营/专科医院,一级医院
山西省,太原市,迎泽区,太原糖尿病专科医院,太原糖尿病医院,民营/专科医院,未知
山西省,太原市,迎泽区,太原迎泽医学美容医院,太原迎泽医学美容医院,个体户/综合医院,一级甲等
山西省,太原市,迎泽区,太原市精神病医院,太原市精神病医院,公立/综合医院,一级甲等
山西省,太原市,迎泽区,文庙社区卫生服务中心,文庙社区卫生服务中心,其他/其他,未知
山西省,太原市,迎泽区,黑土巷社区卫生服务中心,黑土巷社区卫生服务中心,其他/其他,未知
山西省,太原市,迎泽区,解放南路社区卫生服务中心,解放南路社区卫生服务中心,其他/其他,未知
山西省,太原市,迎泽区,桥东社区卫生服务中心,桥东社区卫生服务中心,其他/未知,未知
山西省,太原市,迎泽区,棉花巷社区卫生服务中心,棉花巷社区卫生服务中心,其他/其他,未知
山西省,太原市,迎泽区,庙前社区卫生服务中心,庙前社区卫生服务中心,其他/其他,未知
山西省,太原市,迎泽区,老军营社区卫生服务中心,老军营社区卫生服务中心,其他/其他,未知
山西省,太原市,迎泽区,桥东北社区卫生服务站,桥东北社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,东岗路社区卫生服务站,东岗路社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,并州东街二社区卫生服务站,并州东街二社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,并州东街三社区卫生服务站,并州东街三社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,并州东街四社区卫生服务站,并州东街四社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,双塔寺街三社区卫生服务站,双塔寺街三社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,双塔寺街二社区卫生服务站,双塔寺街二社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,太堡社区卫生服务站,太堡社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,建南铁路社区卫生服务站,建南铁路社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,校尉营社区卫生服务站,校尉营社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,察院后社区卫生服务站,察院后社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,宁化府社区卫生服务站,宁化府社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,新建路二社区卫生服务站,新建路二社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,桃园路一社区卫生服务站,桃园路一社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,桃园路四社区卫生服务站,桃园路四社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,水西关三社区卫生服务站,水西关三社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,长治三社区卫生服务站,长治三社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,文庙社区卫生服务站,文庙社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,上马街二社区卫生服务站,上马街二社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,建北社区卫生服务站,建北社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,双塔寺二社区卫生服务站,双塔寺二社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,北大街中社区卫生服务站,北大街中社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,双塔西街二社区卫生服务站,双塔西街二社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,双塔西街三社区卫生服务站,双塔西街三社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,并州路三社区卫生服务站,并州路三社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,青年路一社区卫生服务站,青年路一社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,青年路二社区卫生服务站,青年路二社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,青年路三社区卫生服务站,青年路三社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,师范学院社区卫生服务站,师范学院社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,解放南路一社区卫生服务站,解放南路一社区卫生服务站,其他/其他,未知
山西省,太原市,迎泽区,山西太原齿科医院,太原齿科医院,合资/专科医院,未知
山西省,太原市,迎泽区,太原红十字齿科医院,山西沃尔根种植口腔医院,其他/专科医院,未知
山西省,太原市,迎泽区,山西肛泰肛肠医院,山西肛泰肛肠医院,民营/专科医院,未知
山西省,太原市,迎泽区,太原市迎泽区中心医院,太原市迎泽区中心医院,公立/综合医院,未知
山西省,太原市,迎泽区,太原市迎泽区中医院,太原市迎泽区中医院,公立/综合医院,未知
山西省,太原市,迎泽区,太原市迎泽区正骨医院,太原市迎泽区正骨医院,公立/综合医院,未知
山西省,太原市,迎泽区,太原市迎泽区柳巷地区医院,太原市迎泽区柳巷地区医院,公立/综合医院,未知
山西省,太原市,迎泽区,太原市迎泽区妇幼保健所,太原市迎泽区妇幼保健所,公立/综合医院,未知
山西省,太原市,迎泽区,太原市南郊区中医院,太原市南郊区中医院,公立/综合医院,未知
山西省,太原市,迎泽区,太原市南城区桥东地区医院,太原市南城区桥东地区医院,公立/综合医院,未知
山西省,太原市,迎泽区,太原市迎泽区骨伤科医院,太原市迎泽区骨伤科医院,公立/专科医院,未知
山西省,太原市,迎泽区,太原市迎泽区口腔医院,太原市迎泽区口腔医院,公立/专科医院,未知
山西省,太原市,迎泽区,山西太原斜颈病医院,山西太原斜颈病医院,民营/专科医院,未知
山西省,太原市,迎泽区,太原市北城区创伤骨科医院,太原市北城区创伤骨科医院,公立/专科医院,未知
山西省,太原市,迎泽区,山西省国营新华化工厂医院,山西省国营新华化工厂医院,公立/综合医院,未知
山西省,太原市,迎泽区,太钢疾病预防控制中心,太钢疾病预防控制中心,公立/综合医院,未知
山西省,太原市,迎泽区,太原钢铁公司胜利桥医院,太原钢铁公司胜利桥医院,公立/综合医院,未知
山西省,太原市,迎泽区,山西省西山矿务局官地矿职工医院,山西省西山矿务局官地矿职工医院,公立/综合医院,未知
山西省,太原市,迎泽区,山西省西山矿务局西铭矿职工医院,山西省西山矿务局西铭矿职工医院,公立/综合医院,未知
山西省,太原市,迎泽区,山西省纺织印染厂职工医院,山西省纺织印染厂职工医院,公立/综合医院,未知
山西省,太原市,迎泽区,山西省建筑职工医院,山西省建筑职工医院,公立/综合医院,未知
山西省,太原市,迎泽区,国营山西机床厂职工医院,国营山西机床厂职工医院,公立/综合医院,未知
山西省,太原市,迎泽区,太原市三益计算机公司职工医院,太原市三益计算机公司职工医院,公立/综合医院,未知
山西省,太原市,迎泽区,太原市煤炭气化公司职工医院,太原市煤炭气化公司职工医院,公立/综合医院,未知
山西省,太原市,迎泽区,山西省职业病防治研究所附属医院,山西省职业病防治研究所附属医院,公立/综合医院,未知
山西省,太原市,迎泽区,山西省红十字普济医院,山西省红十字普济医院,民营/综合医院,未知
山西省,太原市,迎泽区,山西省针织厂医院,山西省针织厂医院,公立/综合医院,未知
山西省,太原市,迎泽区,中国人民解放军第二六四医院,264医院,公立/专科医院,三级甲等　　
山西省,太原市,迎泽区,山西气管炎专科医院山西省商业供销职工医院,山西气管炎专科医院,公立/专科医院,一级甲等
山西省,太原市,迎泽区,山西省中西医结合妇科医院,山西省中西医结合妇科医院,公立/专科医院,二级甲等
山西省,太原市,迎泽区,山西省第二人民医院,山西省职业病医院,公立/综合医院,三级甲等　　
山西省,太原市,迎泽区,太原市中心医院,太原市中心医院,公立/综合医院,三级甲等　　
山西省,太原市,迎泽区,山西省精神卫生中心,山西省精神卫生中心,公立/综合医院,三级甲等　　
山西省,太原市,迎泽区,山西医科大学第一医院,山西医科大学第一临床医学院,公立/综合医院,三级甲等　　
山西省,太原市,迎泽区,山西省中医学院附属医院,山西省中医学院附属医院,公立/综合医院,三级甲等　　
山西省,太原市,迎泽区,太原市迎泽区中医医院,太原市迎泽区中医医院,公立/综合医院,未知
山西省,太原市,迎泽区,太原市传染病医院,太原市传染病医院,公立/综合医院,三级乙等
山西省,太原市,迎泽区,山西省第二人民医院山西省职业病医院,山西省第二人民医院山西省职业病医院,公立/综合医院,一级甲等
山西省,太原市,迎泽区,太原市迎泽区产科医院,太原市迎泽区产科医院,公立/综合医院,未知
山西省,太原市,迎泽区,山西省精神卫生中心太原市精神病医院,山西省精神卫生中心太原市精神病医院,公立/综合医院,一级甲等
山西省,太原市,迎泽区,山西现代疼痛医院,山西现代疼痛医院,公立/综合医院,一级甲等
山西省,太原市,迎泽区,山西省中西医结合妇科,山西省中西医结合妇科,公立/综合医院,二级甲等
山西省,太原市,迎泽区,山西长庚耳鼻喉医院,太原长庚耳鼻喉医院,合资/专科医院,未知
山西省,太原市,迎泽区,山西省中医药研究院,山西省中医研究所,公立/综合医院,三级乙等
山西省,太原市,迎泽区,山西中西医结合医院,太原铁路中心医院,公立/综合医院,三级甲等　　
山西省,太原市,迎泽区,太原圣安中医医院,太原圣安医院,民营/专科医院,未评级
山西省,太原市,迎泽区,山西肾移植透析中心,山西肾移植透析中心,公立/综合医院,一级甲等
山西省,太原市,迎泽区,太原爱尔眼科医院,太原爱尔眼科医院,其他/专科医院,未知
山西省,太原市,迎泽区,山西省肛肠医院,山西省肛肠医院,公立/专科医院,二级甲等
山西省,太原市,迎泽区,郝庄镇中心卫生院,郝庄镇中心卫生院,其他/其他,未知
山西省,太原市,迎泽区,山西医科大学口腔医院,山西医科大学口腔医院,公立/专科医院,三级甲等　　
山西省,太原市,迎泽区,山西职工医学院附属医院,山西职工医学院附属医院,公立/专科医院,二级甲等
山西省,太原市,迎泽区,太原建国泌尿外科医院,太原建国泌尿外科医院,民营/专科医院,民营医院
