省,市,区,全名,别名,性质,等级
山西省,太原市,尖草坪区,太原钢铁（集团）有限公司总医院曙光医院,太原钢铁（集团）有限公司总医院曙光医院,公立/综合医院,一级甲等
山西省,太原市,尖草坪区,华北工学院医院,华北工学院医院,公立/综合医院,一级甲等
山西省,太原市,尖草坪区,太原泽祥医院（民营）,太原泽祥医院,公立/综合医院,一级甲等
山西省,太原市,尖草坪区,太原市第九人民医院,太原市第九人民医院,公立/综合医院,二级甲等
山西省,太原市,尖草坪区,山西省残疾人康复中心,山西省残疾人康复中心,公立/综合医院,未知
山西省,太原市,尖草坪区,太原市中西医结合医院,太原市中西医结合医院,公立/综合医院,未知
山西省,太原市,尖草坪区,太原东方男科医院,东方男科,民营/专科医院,未知
山西省,太原市,尖草坪区,太原市肛肠学会痔瘘医院,太原市肛肠学会痔瘘医院,公立/专科医院,未知
山西省,太原市,尖草坪区,太原市尖草坪区向阳医院,太原市尖草坪区向阳医院,公立/综合医院,未知
山西省,太原市,尖草坪区,太原市北城区中医院,太原市北城区中医院,公立/综合医院,未知
山西省,太原市,尖草坪区,太原市尖草坪中心医院,太原市尖草坪中心医院,公立/综合医院,未知
山西省,太原市,尖草坪区,太原钢铁公司劳动卫生研究所,太原钢铁公司劳动卫生研究所,公立/综合医院,未知
山西省,太原市,尖草坪区,山西省西山矿务局杜儿坪矿职工医院,山西省西山矿务局杜儿坪矿职工医院,公立/综合医院,未知
山西省,太原市,尖草坪区,山西省西山矿务局白家庄矿职工医院,山西省西山矿务局白家庄矿职工医院,公立/综合医院,未知
山西省,太原市,尖草坪区,山西省国营兴安化学材料厂职工医院,山西省国营兴安化学材料厂职工医院,公立/综合医院,未知
山西省,太原市,尖草坪区,中国化学总公司第一化工建设公司职工医院,中国化学总公司第一化工建设公司职工医院,公立/综合医院,未知
山西省,太原市,尖草坪区,国营江阳化工厂职工医院,国营江阳化工厂职工医院,公立/综合医院,未知
山西省,太原市,尖草坪区,山西博爱医院,山西博爱医院,民营/综合医院,三级甲等　　
山西省,太原市,尖草坪区,太原市尖草坪区中心医院,太原市尖草坪区中心医院,公立/综合医院,二级甲等
山西省,太原市,尖草坪区,太原市尖草坪区柏板乡医院,太原市尖草坪区柏板乡医院,公立/综合医院,未知
山西省,太原市,尖草坪区,山西新华化工厂职工医院,山西新华化工厂职工医院,公立/综合医院,一级甲等
山西省,太原市,尖草坪区,太原市尖草坪区迎新街地区医院,太原市尖草坪区迎新街地区医院,公立/综合医院,未知
山西省,太原市,尖草坪区,上兰社区卫生服务中心,上兰社区卫生服务中心,其他/其他,未知
山西省,太原市,尖草坪区,南寨社区卫生服务中心,南寨社区卫生服务中心,其他/其他,未知
山西省,太原市,尖草坪区,古城社区卫生服务中心,古城社区卫生服务中心,其他/其他,未知
山西省,太原市,尖草坪区,光社社区卫生服务中心,光社社区卫生服务中心,其他/其他,未知
山西省,太原市,尖草坪区,尖草坪社区卫生服务中心,尖草坪社区卫生服务中心,其他/其他,未知
山西省,太原市,尖草坪区,迎新街社区卫生服务中心,迎新街社区卫生服务中心,其他/其他,未知
山西省,太原市,尖草坪区,汇丰社区卫生服务中心,汇丰社区卫生服务中心,其他/其他,未知
山西省,太原市,尖草坪区,太纸社区卫生服务站,太纸社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,华工社区卫生服务站,华工社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,兴安苑社区卫生服务站,兴安苑社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,兴安社区卫生服务站,兴安社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,江阳社区卫生服务站,江阳社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,二电社区卫生服务站,二电社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,新城社区卫生服务站,新城社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,东方社区卫生服务站,东方社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,翠馨苑社区卫生服务站,翠馨苑社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,赵庄社区卫生服务站,赵庄社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,简易社区卫生服务站,简易社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,七府坟南街第一社区卫生服务站,七府坟南街第一社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,建工街第一社区卫生服务站,建工街第一社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,恒山23宿舍社区卫生服务站,恒山23宿舍社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,利民社区卫生服务站,利民社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,钢东社区卫生服务站,钢东社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,大型社区卫生服务站,大型社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,102社区卫生服务站,102社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,选煤社区卫生服务站,选煤社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,兴华东社区卫生服务站,兴华东社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,乾泽园社区卫生服务站,乾泽园社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,兴花苑社区卫生服务站,兴花苑社区卫生服务站,其他/其他,未知
山西省,太原市,尖草坪区,汇丰苑新兴社区卫生服务站,汇丰苑新兴社区卫生服务站,其他/其他,未知
