省,市,区,全名,别名,性质,等级
山西省,太原市,古交市,古交市中医医院,古交市中医医院,公立/综合医院,二级甲等
山西省,太原市,古交市,西山煤电（集团）有限责任公司古交矿区总医院,西山煤电（集团）有限责任公司古交矿区总医院,公立/综合医院,二级甲等
山西省,太原市,古交市,古交市人民医院,古交市人民医院,公立/综合医院,未知
山西省,太原市,古交市,太原市西山矿务局西曲矿职工医院,太原市西山矿务局西曲矿职工医院,公立/综合医院,未知
山西省,太原市,古交市,山西省晋西机器厂职工医院,山西省晋西机器厂职工医院,公立/综合医院,未知
山西省,太原市,古交市,古交市中医院,古交市中医院,公立/综合医院,未知
山西省,太原市,古交市,古交市中心医院,古交市中心医院,公立/综合医院,未知
山西省,太原市,古交市,太原市矿务局古交矿建工程处职工医院,太原市矿务局古交矿建工程处职工医院,公立/综合医院,未知
山西省,太原市,古交市,西山矿务局第二职工医院,西山矿务局第二职工医院,公立/综合医院,二级甲等
山西省,太原市,古交市,古交市妇幼保健院,古交市妇幼保健院,公立/综合医院,二级甲等
山西省,太原市,古交市,古交市晋民医院,古交晋民医院,民营/综合医院,未评级
山西省,太原市,古交市,青山路社区卫生服务站,青山路社区卫生服务站,其他/其他,未知
山西省,太原市,古交市,川东社区卫生服务站,川东社区卫生服务站,其他/其他,未知
山西省,太原市,古交市,建设路社区卫生服务站,建设路社区卫生服务站,其他/其他,未知
山西省,太原市,古交市,青年路社区卫生服务站,青年路社区卫生服务站,其他/其他,未知
山西省,太原市,古交市,义学路社区卫生服务站,义学路社区卫生服务站,其他/其他,未知
