省,市,区,全名,别名,性质,等级
山西省,大同市,城区,大同曙光男科医院,大同市男科医院,民营/专科医院,民营医院
山西省,大同市,城区,大同曙光泌尿医院,大同男科医院,民营/专科医院,民营医院
山西省,大同市,城区,山西省化工厂职工医院,山西省化工厂职工医院,公立/综合医院,未知
山西省,大同市,城区,大同市城区人民医院,大同市城区人民医院,公立/综合医院,二级乙等
山西省,大同市,城区,大同市商业职工医院,大同市商业职工医院,公立/综合医院,二级乙等
山西省,大同市,城区,大同市社会精神病医院,大同市社会精神病医院,公立/综合医院,二级乙等
山西省,大同市,城区,大同生殖医学专科医院,大同生殖医学专科医院,公立/综合医院,二级甲等
山西省,大同市,城区,大同市同祥红十字医院,大同市同祥红十字医院,民营/综合医院,二级甲等
山西省,大同市,城区,大同医学老专家协会医院,大同医学老专家协会医院,民营/综合医院,二级甲等
山西省,大同市,城区,大同新康专科医院,大同新康专科医院,民营/综合医院,二级甲等
山西省,大同市,城区,大同市风湿病医院,大同市风湿病医院,民营/综合医院,二级甲等
山西省,大同市,城区,大同新和医院,大同新和医院,民营/综合医院,未知
山西省,大同市,城区,大同消化病医院,大同消化病医院,民营/专科医院,民营医院
山西省,大同市,城区,大同创新骨科医院,大同骨科医院,其他/专科医院,未评级
山西省,大同市,城区,大同市二轻医院,大同现代医院，大同市二医院,公立/综合医院,二级甲等
山西省,大同市,城区,大同市322医院,大同三二二医院,公立/综合医院,三级甲等　　
山西省,大同市,城区,大同凯霖耳鼻喉医院,凯霖医院,民营/专科医院,未知
山西省,大同市,城区,大同新时代妇科医院,大同新时代妇科医院,其他/专科医院,未知
山西省,大同市,城区,同煤集团第一职工医院,同煤集团第一职工医院,公立/综合医院,一级甲等
山西省,大同市,城区,大同市城区人民医院大同市城区妇幼保健站,大同市城区人民医院大同市城区妇幼保健站,公立/综合医院,二级乙等
山西省,大同市,城区,喀什兵团农三师医院,喀什兵团农三师医院,公立/综合医院,一级甲等
山西省,大同市,城区,大同皮肤病医院,大同皮肤病医院,民营/专科医院,二级甲等
山西省,大同市,城区,大同阳光男科医院,大同阳光男科医院,合资/专科医院,未评级
山西省,大同市,城区,大同欧亚医院,大同妇科医院,民营/综合医院,未评级
山西省,大同市,城区,大同同城医院,大同同城医院,合资/综合医院,未评级
山西省,大同市,城区,大同医学专科学校中医院,大同医学专科学校中医院,公立/综合医院,二级甲等
山西省,大同市,城区,大同市第二人民医院,大同市第二人民医院,公立/综合医院,二级甲等
山西省,大同市,城区,大同市交通医院,大同市交通医院,公立/综合医院,二级甲等
