省,市,区,全名,别名,性质,等级
山西省,大同市,矿区,大同煤矿集团晋华宫矿医院,大同煤矿集团晋华宫矿医院,公立/综合医院,二级乙等
山西省,大同市,矿区,大同煤矿集团公司三医院,大同煤矿集团公司三医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同市矿区人民医院,大同市矿区人民医院,公立/综合医院,二级甲等
山西省,大同市,矿区,同煤集团总医院,同煤总医院,公立/综合医院,三级乙等
山西省,大同市,矿区,大同市中西医结合医院,大同市中西医结合医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同煤矿集团有限责任公司三医院,大同煤矿集团有限责任公司三医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同市矿区中医院,大同市矿区中医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同市第四人民医院,大同市第四人民医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同煤矿集团有限责任公司白洞医院,大同煤矿集团有限责任公司白洞医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同煤矿集团有限责任公司忻州窑矿医院,大同煤矿集团有限责任公司忻州窑矿医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同市三医院唐山沟煤矿联合体医院,大同市三医院唐山沟煤矿联合体医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同市妇幼保健所,大同市妇幼保健所,公立/综合医院,二级甲等
山西省,大同市,矿区,大同市中医院,大同市中医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同煤矿集团有限责任公司结核病防治所,大同煤矿集团有限责任公司结核病防治所,公立/综合医院,二级甲等
山西省,大同市,矿区,大同煤矿集团有限责任公司王村矿医院,大同煤矿集团有限责任公司王村矿医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同煤矿集团公司二医院,大同煤矿集团公司二医院,公立/综合医院,二级甲等
山西省,大同市,矿区,大同煤矿集团公司一医院,大同煤矿集团公司一医院,公立/综合医院,三级乙等
山西省,大同市,矿区,大同新凤凰妇产医院,大同新凤凰妇产医院,民营/专科医院,民营医院
