省,市,区,全名,别名,性质,等级
山西省,大同市,南郊区,大同肛泰肛肠医院,大同肛泰医院,合资/专科医院,未知
山西省,大同市,南郊区,国营山西柴油机厂职工医院,国营山西柴油机厂职工医院,公立/综合医院,一级甲等
山西省,大同市,南郊区,大同市第三人民医院,山西医科大学附属医院,公立/综合医院,三级甲等　　
山西省,大同市,南郊区,大同市煤炭工业职工医院,大同市煤炭工业职工医院,公立/综合医院,二级甲等
山西省,大同市,南郊区,大同市第一人民医院,大同市第一人民医院,公立/综合医院,二级甲等
山西省,大同市,南郊区,大同市基本建设职工医院,大同市基本建设职工医院,公立/综合医院,二级甲等
山西省,大同市,南郊区,大同市第二轻工业局职工医院,大同市第二轻工业局职工医院,公立/综合医院,二级甲等
山西省,大同市,南郊区,大同市南郊区妇幼保健站,大同市南郊区妇幼保健站,公立/综合医院,二级甲等
山西省,大同市,南郊区,大同市第三人民医院肿瘤分院,大同市第三人民医院肿瘤分院,公立/专科医院,二级甲等
山西省,大同市,南郊区,大同市口腔医院,大同市口腔医院,公立/专科医院,二级甲等
山西省,大同市,南郊区,大同市红十字会康科口腔医院,大同市红十字会康科口腔医院,公立/专科医院,二级甲等
山西省,大同市,南郊区,大同骨科医院,大同骨科医院,民营/专科医院,二级甲等
山西省,大同市,南郊区,大同市第五人民医院,大同市第五人民医院,公立/综合医院,三级乙等
山西省,大同市,南郊区,中国人民解放军第三二二医院,解放军大同322医院,公立/综合医院,三级甲等　　
山西省,大同市,南郊区,大同市南郊区人民医院,大同市南郊区人民医院,公立/综合医院,二级乙等
山西省,大同市,南郊区,大同市第六人民医院,大同市第六人民医院,公立/综合医院,二级乙等
山西省,大同市,南郊区,大同市脊椎病医院,大同市脊椎病医院,民营/综合医院,二级甲等
山西省,大同市,南郊区,大同市永泰医院,大同市永泰医院,民营/综合医院,二级甲等
山西省,大同市,南郊区,大同市创伤骨科医院,大同市创伤骨科医院,民营/专科医院,二级甲等
山西省,大同市,南郊区,大同市男科医院,大同市男科医院,民营/专科医院,二级甲等
山西省,大同市,南郊区,大同精神卫生防治院,大同精神卫生防治院,民营/综合医院,二级甲等
山西省,大同市,南郊区,大同残联医院,大同残联医院,民营/综合医院,二级甲等
山西省,大同市,南郊区,大同世纪协和医院,大同世纪协和医院,民营/综合医院,二级甲等
