省,市,区,全名,别名,性质,等级
山西省,阳泉市,城区,阳泉曙光医院,阳泉京城医院,其他/综合医院,未知
山西省,阳泉市,城区,阳泉煤业（集团）有限责任公司总医院一矿医院,阳泉煤业（集团）有限责任公司总医院一矿医院,公立/综合医院,一级甲等
山西省,阳泉市,城区,阳泉市口腔医院,阳泉市口腔医院,公立/综合医院,一级甲等
山西省,阳泉市,城区,阳泉市第一人民医院肿瘤分院,阳泉市第一人民医院肿瘤分院,公立/综合医院,一级甲等
山西省,阳泉市,城区,阳泉市商业局医院,阳泉市商业局医院,公立/综合医院,一级甲等
山西省,阳泉市,城区,阳泉铁路医院,阳泉铁路医院,公立/综合医院,二级乙等
山西省,阳泉市,城区,阳泉市妇幼保健医院,阳泉市妇幼保健医院,公立/综合医院,二级甲等
山西省,阳泉市,城区,阳泉市中医院,阳泉市中医院,公立/综合医院,二级甲等
山西省,阳泉市,城区,阳泉煤业集团总医院,阳泉煤业集团总医院,公立/综合医院,三级甲等　　
山西省,阳泉市,城区,阳泉市第一人民医院,阳泉市第一人民医院,公立/综合医院,三级乙等
山西省,阳泉市,城区,阳泉东方医院,阳泉东方女子医院,合资/综合医院,未知
山西省,阳泉市,城区,阳泉京城医院,阳泉京城妇科（男科）医院,民营/综合医院,未知
山西省,阳泉市,城区,阳泉华康医院,阳泉华康医院,民营/综合医院,一级甲等
山西省,阳泉市,城区,阳泉市城区人民医院,阳泉市城区人民医院,公立/综合医院,一级甲等
