省,市,区,全名,别名,性质,等级
山西省,长治市,城区,晋城市城区中医院,晋城市城区中医院,公立/综合医院,二级甲等
山西省,长治市,城区,长治市惠丰职工医院,长治市惠丰职工医院,公立/综合医院,二级甲等
山西省,长治市,城区,长治市中医研究所附属医院,长治市中医研究所附属医院,公立/综合医院,二级甲等
山西省,长治市,城区,长治市中医院,长治市中医院,公立/综合医院,二级甲等
山西省,长治市,城区,长治市第二人民医院,长治市第二人民医院,公立/综合医院,二级甲等
山西省,长治市,城区,长治现代医院,长治现代医院,其他/专科医院,未知
山西省,长治市,城区,晋城市妇幼保健院长治分院,长治晋城妇幼保健院,公立/专科医院,未评级
山西省,长治市,城区,长治市城区妇产医院,长治高级妇产医院,公立/专科医院,未知
山西省,长治市,城区,五一二七二部队医院,五一二七二部队医院,公立/综合医院,一级甲等
山西省,长治市,城区,长治和信医院,长治和信医院,民营/综合医院,民营医院
山西省,长治市,城区,长治女子医院,长治圣爱妇产医院,其他/专科医院,未评级
山西省,长治市,城区,长治协和医院,长治市协和医院,其他/综合医院,未知
山西省,长治市,城区,长治泌尿专科医院,长治男科医院,合资/专科医院,民营医院
山西省,长治市,城区,山西省长治市城区人民医院,山西省长治市城区人民医院,公立/综合医院,二级乙等
山西省,长治市,城区,山西长治男科医院,长治男科医院,民营/专科医院,一级甲等
山西省,长治市,城区,国营惠丰机械厂职工医院,国营惠丰机械厂职工医院,公立/综合医院,一级甲等
山西省,长治市,城区,长治男科医院,长治男科医院,其他/专科医院,未知
