省,市,区,全名,别名,性质,等级
山西省,晋城市,城区,晋城骨创专科医院,晋城骨创专科医院,公立/综合医院,一级甲等
山西省,晋城市,城区,晋城市城区计生妇幼保健服务中心,晋城市城区计生妇幼保健服务中心,公立/综合医院,一级甲等
山西省,晋城市,城区,山西长平煤业有限责任公司王台医院,山西长平煤业有限责任公司王台医院,公立/综合医院,二级甲等
山西省,晋城市,城区,山西晋城无烟煤矿业集团有限责任公司总医院,山西晋城无烟煤矿业集团有限责任公司总医院,公立/综合医院,三级甲等　　
山西省,晋城市,城区,晋城煤业集团总医院,晋城煤业集团总医院,公立/综合医院,三级甲等　　
山西省,晋城市,城区,晋城市妇幼保健院,晋城市妇幼保健院,公立/综合医院,三级乙等
山西省,晋城市,城区,晋城市人民医院,长治医学院第二附属医院,公立/综合医院,三级乙等
山西省,晋城市,城区,晋城煤业集团总医院,晋城煤业集团总医院,公立/综合医院,三级甲等　　
山西省,晋城市,城区,晋城妇科医院,晋城妇科医院,公立/专科医院,民营医院
山西省,晋城市,城区,晋城市煤业集团古书院矿医院,晋城市煤业集团古书院矿医院,公立/综合医院,一级甲等
山西省,晋城市,城区,晋城现代女子医院,晋城女子医院,民营/综合医院,民营医院
