省,市,区,全名,别名,性质,等级
山西省,晋中市,榆次区,榆次铁路医院,榆次铁路医院,公立/综合医院,未知
山西省,晋中市,榆次区,山西省锦纶厂职工医院,山西省锦纶厂职工医院,公立/综合医院,未知
山西省,晋中市,榆次区,山西省经纬机械厂职工医院,山西省经纬机械厂职工医院,公立/综合医院,未知
山西省,晋中市,榆次区,武警8650部队医院,武警8650部队医院,公立/综合医院,未知
山西省,晋中市,榆次区,山西省晋华纺织厂职工医院,山西省晋华纺织厂职工医院,公立/综合医院,未知
山西省,晋中市,榆次区,榆次市口腔医院,榆次市口腔医院,公立/专科医院,未知
山西省,晋中市,榆次区,榆次市妇幼保健所,榆次市妇幼保健所,公立/综合医院,未知
山西省,晋中市,榆次区,榆次市中医院,榆次市中医院,公立/综合医院,未知
山西省,晋中市,榆次区,榆次市第二人民医院, ,公立/,未知
山西省,晋中市,榆次区,榆次市人民医院,榆次市人民医院,公立/综合医院,未知
山西省,晋中市,榆次区,晋中眼科医院,晋中眼科医院,公立/专科医院,二级甲等
山西省,晋中市,榆次区,山西中医学院晋中中医院,晋中市中医院,公立/综合医院,二级甲等
山西省,晋中市,榆次区,晋中市第一人民医院,晋中市第一人民医院,公立/综合医院,三级甲等　　
山西省,晋中市,榆次区,晋中市中医院,晋中市中医院,公立/综合医院,三级乙等
山西省,晋中市,榆次区,榆次区人民医院,榆次区人民医院,公立/综合医院,未知
山西省,晋中市,榆次区,晋中市中医医院,晋中市中医医院,公立/综合医院,一级甲等
山西省,晋中市,榆次区,晋中市荣复军人精神病院,晋中市荣复军人精神病院,公立/综合医院,一级甲等
山西省,晋中市,榆次区,晋中妇幼保健院,晋中妇幼保健院,公立/综合医院,一级甲等
山西省,晋中市,榆次区,晋中五洲妇儿医院,晋中妇科医院,合资/专科医院,未评级
山西省,晋中市,榆次区,晋中新东方男科医院,晋中新东方男科医院,合资/专科医院,未知
山西省,晋中市,榆次区,山西省民政伤残康复医院,山西省民政伤残康复医院,公立/其他,二级乙等
山西省,晋中市,榆次区,晋中友谊医院,晋中友谊医院,合资/专科医院,未知
山西省,晋中市,榆次区,榆次区第二人民医院,榆次区第二人民医院,公立/综合医院,二级乙等
山西省,晋中市,榆次区,祁县军大医院,祁县现代医院,其他/综合医院,未评级
