省,市,区,全名,别名,性质,等级
山西省,运城市,盐湖区,运城市精神病医院,为民心理咨询研究中心,民营/专科医院,未评级
山西省,运城市,盐湖区,运城建国医院,运城建国泌尿外科医院,民营/专科医院,未评级
山西省,运城市,盐湖区,盐湖现代佳美口腔医院,运城佳美口腔,民营/专科医院,未评级
山西省,运城市,盐湖区,运城耳鼻喉医院,运城耳鼻喉医院,民营/综合医院,一级甲等
山西省,运城市,盐湖区,运城市盐湖区工业医院,运城市盐湖区工业医院,公立/综合医院,未知
山西省,运城市,盐湖区,运城市盐湖区第二人医院,运城市盐湖区第二人医院,公立/综合医院,一级乙等
山西省,运城市,盐湖区,运城市盐湖区禹都人民医院,运城市盐湖区禹都人民医院,公立/综合医院,一级乙等
山西省,运城市,盐湖区,运城市盐湖区妇幼保健院,运城市盐湖区妇幼保健院,公立/综合医院,未知
山西省,运城市,盐湖区,运城市禹都人民医院,禹都医院,公立/综合医院,二级甲等
山西省,运城市,盐湖区,运城市口腔医院,运城市口腔医院,公立/综合医院,二级甲等
山西省,运城市,盐湖区,运城慈爱中医心理疾病医院,运城慈爱医院,民营/综合医院,民营医院
山西省,运城市,盐湖区,运城明济堂乳腺病专科医院,运城明济堂,民营/专科医院,未评级
山西省,运城市,盐湖区,运城市盐湖区第三人民医院,运城市盐湖区第三人民医院,公立/综合医院,未知
山西省,运城市,盐湖区,运城市口腔卫生学校附属口腔医院,运城市口腔卫生学校附属口腔医院,公立/综合医院,一级甲等
山西省,运城市,盐湖区,运城市卫生学校附属医院,运城市卫生学校附属医院,公立/综合医院,二级甲等
山西省,运城市,盐湖区,运城市精神病院,运城市精神病院,公立/综合医院,一级甲等
山西省,运城市,盐湖区,运城市盐湖区中医院,运城市盐湖区中医院,公立/综合医院,二级乙等
山西省,运城市,盐湖区,运城市盐湖区人民医院,运城市盐湖区人民医院,公立/综合医院,二级甲等
山西省,运城市,盐湖区,运城友谊医院,运城泌尿病医院,民营/专科医院,民营医院
山西省,运城市,盐湖区,运城战军中医院,运城战军中医院,民营/综合医院,民营医院
山西省,运城市,盐湖区,运城现代妇科医院,运城现代妇科医院,民营/专科医院,未知
山西省,运城市,盐湖区,运城市盐湖区解州骨科医院,运城市盐湖区解州骨科医院,公立/骨科医院,二级甲等
山西省,运城市,盐湖区,运城市妇幼保健院,运城市儿童医院,公立/综合医院,三级乙等
山西省,运城市,盐湖区,运城市同德医院,运城市同德医院,公立/综合医院,一级甲等
山西省,运城市,盐湖区,运城众泰肛肠医院,运城众泰肛肠医院,民营/专科医院,未评级
山西省,运城市,盐湖区,运城盐湖区大渠办事处社区卫生服务中心,运城盐湖区大渠办事处社区卫生服务中心,其他/综合医院,未知
山西省,运城市,盐湖区,运城惠民脑瘫康复医院,运城惠民脑瘫康复医院,其他/专科医院,未知
山西省,运城市,盐湖区,运城陈波脉管炎专科医院,运城市脉管炎医院,民营/综合医院,三级甲等　　
山西省,运城市,盐湖区,运城市中心医院,运城地区人民医院,公立/综合医院,三级甲等　　
山西省,运城市,盐湖区,运城市新民中医院,运城市新民中医院,民营/综合医院,未评级
山西省,运城市,盐湖区,运城市中医院,运城市中医院,公立/综合医院,二级甲等
山西省,运城市,盐湖区,运城市第三医院,运城市血液病研究所,公立/综合医院,二级甲等
山西省,运城市,盐湖区,运城市人民医院,运城市人民医院,公立/综合医院,三级甲等　　
