省,市,区,全名,别名,性质,等级
山西省,运城市,稷山县,稷山县骨髓炎医院,稷山县骨髓炎医院,民营/综合医院,未知
山西省,运城市,稷山县,稷山县城关医院,稷山县城关医院,公立/综合医院,未知
山西省,运城市,稷山县,稷山县妇幼保健院,稷山县妇幼保健院,公立/综合医院,未知
山西省,运城市,稷山县,稷山县中医院,稷山县中医院,公立/综合医院,未知
山西省,运城市,稷山县,稷山县痔瘘医院,稷山县痔瘘医院,公立/综合医院,未知
山西省,运城市,稷山县,稷山县牙病防治中心,稷山县牙病防治中心,公立/综合医院,未知
山西省,运城市,稷山县,稷山县老年病防治院,稷山县老年病防治院,公立/综合医院,未知
山西省,运城市,稷山县,稷山县康复中心,稷山县康复中心,公立/综合医院,未知
山西省,运城市,稷山县,稷山县精神病医院,稷山县精神病医院,公立/综合医院,未知
山西省,运城市,稷山县,稷山县肾病医院,稷山县肾病医院,民营/综合医院,一级甲等
山西省,运城市,稷山县,稷山县人民医院,稷山县人民医院,公立/综合医院,二级甲等
山西省,运城市,稷山县,稷山县老年病专科医院,稷山县老年病专科医院,公立/综合医院,未知
山西省,运城市,稷山县,稷山倩倩白癜风诊所,稷山尚氏白癜风专科,民营/门诊,未知
山西省,运城市,稷山县,稷山县优抚医院,稷山县优抚医院,公立/综合医院,未知
