省,市,区,全名,别名,性质,等级
山西省,运城市,夏县,夏县中医医院,夏县中医医院,公立/综合医院,二级乙等
山西省,运城市,夏县,徐河肾病专科医院（民营）,徐河肾病专科医院,个体户/综合医院,一级甲等
山西省,运城市,夏县,夏县不孕不育专科医院,夏县不孕不育专科医院,公立/综合医院,未知
山西省,运城市,夏县,山西欣得康肿瘤研究所,山西欣得康肿瘤研究所,公立/专科医院,未知
山西省,运城市,夏县,夏县武警专科学校医院,夏县武警专科学校医院,公立/综合医院,未知
山西省,运城市,夏县,夏县文义中医肝硬化专科医院,夏县文义中医肝硬化专科医院,民营/综合医院,未知
山西省,运城市,夏县,夏县腹泻病医院,夏县腹泻病医院,公立/综合医院,未知
山西省,运城市,夏县,夏县骨伤科医院,夏县骨伤科医院,公立/综合医院,未知
山西省,运城市,夏县,夏县秀东中医肝病医院,夏县秀东中医肝病医院,民营/综合医院,未知
山西省,运城市,夏县,夏县中医院,夏县中医院,公立/综合医院,未知
山西省,运城市,夏县,夏县第二人民医院,夏县第二人民医院,公立/综合医院,未知
山西省,运城市,夏县,夏县人民医院,夏县人民医院,公立/综合医院,二级甲等
山西省,运城市,夏县,夏县文义中医肝硬化专科医院（民营）,夏县文义中医肝硬化专科医院,个体户/综合医院,一级甲等
