省,市,区,全名,别名,性质,等级
山西省,临汾市,侯马市,侯马玛莉亚妇产医院,侯马玛莉亚妇产医院,其他/专科医院,未评级
山西省,临汾市,侯马市,侯马市侯纺医院痔瘘专科,侯马市侯纺医院,公立/专科医院,一级甲等
山西省,临汾市,侯马市,邮电部侯马电缆厂职工医院,邮电部侯马电缆厂职工医院,公立/综合医院,未知
山西省,临汾市,侯马市,侯马平阳医院,侯马平阳医院,公立/综合医院,二级乙等
山西省,临汾市,侯马市,铁道部第十五工程局第四工程处职工医院,铁道部第十五工程局第四工程处职工医院,公立/综合医院,一级甲等
山西省,临汾市,侯马市,普天通信电缆有限公司职工医院侯马五Ｏ二医院,普天通信电缆有限公司职工医院侯马五Ｏ二医院,公立/综合医院,未知
山西省,临汾市,侯马市,侯马市神经精神病医院,侯马市神经精神病医院,公立/综合医院,未知
山西省,临汾市,侯马市,侯马天主教眼科医院,侯马天主教眼科医院,公立/综合医院,未知
山西省,临汾市,侯马市,侯马市痔瘘专科医院,侯马市痔瘘专科医院,公立/综合医院,未知
山西省,临汾市,侯马市,侯马市五官科医院,侯马市五官科医院,公立/综合医院,未知
山西省,临汾市,侯马市,侯马市妇幼保健站,侯马市妇幼保健站,公立/综合医院,未知
山西省,临汾市,侯马市,侯马市中医院,侯马市中医院,公立/综合医院,未知
山西省,临汾市,侯马市,山西省第一建筑工程公司职工医院,山西省第一建筑工程公司职工医院,公立/综合医院,二级乙等
山西省,临汾市,侯马市,侯马市人民医院,侯马市人民医院,公立/综合医院,二级甲等
山西省,临汾市,侯马市,侯马博爱医院,侯马博爱医院,公立/综合医院,二级乙等
山西省,临汾市,侯马市,山西省一建公司医院,山西省一建公司医院,公立/综合医院,一级甲等
