省,市,区,全名,别名,性质,等级
山西省,吕梁市,汾阳市,汾阳财贸职工医院,汾阳财贸职工医院,公立/综合医院,未知
山西省,吕梁市,汾阳市,汾阳市运输公司职工医院,汾阳市运输公司职工医院,公立/综合医院,未知
山西省,吕梁市,汾阳市,汾阳市二轻职工医院,汾阳市二轻职工医院,公立/综合医院,未知
山西省,吕梁市,汾阳市,汾阳市益华医院,汾阳市益华医院,公立/综合医院,未知
山西省,吕梁市,汾阳市,汾阳市城关医院,汾阳市城关医院,公立/综合医院,未知
山西省,吕梁市,汾阳市,汾阳市创伤血栓综合医院,汾阳市创伤血栓综合医院,公立/综合医院,未知
山西省,吕梁市,汾阳市,汾阳市妇幼保健站,汾阳市妇幼保健站,公立/综合医院,未知
山西省,吕梁市,汾阳市,汾阳市中医院,汾阳市中医院,公立/综合医院,未知
山西省,吕梁市,汾阳市,山西省汾阳医院,山西省汾阳医院,公立/综合医院,三级甲等　　
山西省,吕梁市,汾阳市,汾阳协和医院,汾阳协和医院,其他/专科医院,未评级
山西省,吕梁市,汾阳市,汾阳新东方医院,汾阳新东方男科医院,其他/专科医院,未知
山西省,吕梁市,汾阳市,汾阳市人民医院,汾阳市人民医院,公立/综合医院,未知
