省,市,区,全名,别名,性质,等级
内蒙古,呼和浩特市,赛罕区,呼市赛罕区医院,呼市赛罕区医院,公立/综合医院,未知
内蒙古,呼和浩特市,赛罕区,内蒙古精神卫生中心,内蒙古第三医院,公立/综合医院,二级甲等
内蒙古,呼和浩特市,赛罕区,内蒙古大学医院,呼和浩特市赛罕区大学西路办事处社区医疗服务中心,公立/综合医院,一级甲等
内蒙古,呼和浩特市,赛罕区,浩特市赛罕区第二医院,内蒙古仕奇集团医院（二毛医院）,公立/综合医院,二级乙等
内蒙古,呼和浩特市,赛罕区,内蒙古农业大学医院,内蒙古农业大学医院,公立/综合医院,一级甲等
内蒙古,呼和浩特市,赛罕区,呼和浩特市疾病预防控制中心,呼和浩特市疾控中心,公立/综合医院,一级甲等
内蒙古,呼和浩特市,赛罕区,呼和浩特市中蒙医院,呼和浩特市中蒙医院,公立/综合医院,二级甲等
内蒙古,呼和浩特市,赛罕区,呼和浩特红十字博爱医院,呼市红十字博爱医院,公立/综合医院,二级甲等
内蒙古,呼和浩特市,赛罕区,内蒙古自治区呼和浩特市赛罕医院,内蒙古自治区呼和浩特市赛罕医院,公立/综合医院,二级乙等
内蒙古,呼和浩特市,赛罕区,内蒙古易和医院,内蒙古易和医院,民营/综合医院,二级甲等
内蒙古,呼和浩特市,赛罕区,内蒙古医学院附属人民医院,内蒙古自治区肿瘤医院,公立/综合医院,三级乙等
内蒙古,呼和浩特市,赛罕区,仕奇集团职工医院,仕奇集团职工医院,公立/综合医院,一级甲等
内蒙古,呼和浩特市,赛罕区,呼和浩特平安医院,呼和浩特妇科医院,其他/综合医院,未知
内蒙古,呼和浩特市,赛罕区,内蒙古呼和浩特韩艺整形美容医院,哈日巴拉整形美容医院,合资/专科医院,未知
