省,市,区,全名,别名,性质,等级
内蒙古,包头市,青山区,包头医学院第二附属医院,包头医学院第二附属医院,公立/综合医院,三级甲等　　
内蒙古,包头市,青山区,武汉船用机械厂职工医院,武汉船用机械厂职工医院,公立/综合医院,未知
内蒙古,包头市,青山区,武汉石油化工厂职工医院,武汉石油化工厂职工医院,公立/综合医院,未知
内蒙古,包头市,青山区,武汉市冶金设备制造公司职工医院,武汉市冶金设备制造公司职工医院,公立/综合医院,未知
内蒙古,包头市,青山区,武汉重型铸造厂职工医院,武汉重型铸造厂职工医院,公立/综合医院,未知
内蒙古,包头市,青山区,武汉石化职工医院,武汉石化职工医院,公立/综合医院,未知
内蒙古,包头市,青山区,中国第一冶金建设公司职工医院,中国第一冶金建设公司职工医院,公立/综合医院,三级乙等
内蒙古,包头市,青山区,武汉钢铁公司第二职工医院结核病院,武汉钢铁公司第二职工医院结核病院,公立/综合医院,三级乙等
内蒙古,包头市,青山区,武汉钢铁公司第二职工医院,武汉钢铁公司第二职工医院,公立/综合医院,三级乙等
内蒙古,包头市,青山区,包头现代女子医院,现代女子医院,民营/专科医院,民营医院
内蒙古,包头市,青山区,武汉市普仁医院,原一冶医院,公立/综合医院,三级乙等
内蒙古,包头市,青山区,武汉市石化医院,武汉市石化医院,公立/综合医院,二级乙等
内蒙古,包头市,青山区,内蒙古北方医院,内蒙古北方医院,公立/综合医院,三级甲等　　
内蒙古,包头市,青山区,内蒙古一机医院,内蒙古一机医院,公立/综合医院,一级甲等
内蒙古,包头市,青山区,包头市第四医院,包头市第四医院,公立/综合医院,三级医院
内蒙古,包头市,青山区,包头市第七医院包头市肿瘤医院,包头市第七医院包头市肿瘤医院,公立/专科医院,二级甲等
内蒙古,包头市,青山区,包头市第七医院,包头市第七医院,公立/综合医院,二级甲等
