省,市,区,全名,别名,性质,等级
内蒙古,乌海市,海勃湾区,乌海现代医院,乌海现代医院,民营/综合医院,民营医院
内蒙古,乌海市,海勃湾区,乌海市海勃湾区铁路医院,乌海市海勃湾区铁路医院,公立/综合医院,二级乙等
内蒙古,乌海市,海勃湾区,海勃湾区中医院,海勃湾区中医院,公立/中医医院,二级甲等
内蒙古,乌海市,海勃湾区,海勃湾矿务局平沟煤矿医院,海勃湾矿务局平沟煤矿医院,公立/综合医院,未知
内蒙古,乌海市,海勃湾区,乌海市海南区人民医院,乌海市海南区人民医院,公立/综合医院,一级甲等
内蒙古,乌海市,海勃湾区,海勃湾矿务局第二医院,海勃湾矿务局第二医院,公立/综合医院,未知
内蒙古,乌海市,海勃湾区,乌海市蒙中医院,乌海市蒙中医院,公立/综合医院,一级甲等
内蒙古,乌海市,海勃湾区,海勃湾矿务局总医院,海勃湾矿务局总医院,公立/综合医院,未知
内蒙古,乌海市,海勃湾区,乌海曙光男科医院,乌海曙光泌尿专科医院,民营/专科医院,民营医院
内蒙古,乌海市,海勃湾区,乌海市妇儿医疗预防保健中心,乌海市妇儿医疗预防保健中心,公立/综合医院,二级甲等
内蒙古,乌海市,海勃湾区,乌海市海勃湾区中医院,乌海市海勃湾区中医院,公立/综合医院,二级甲等
内蒙古,乌海市,海勃湾区,乌海市海勃湾区医院,乌海市海勃湾区医院,公立/综合医院,二级甲等
内蒙古,乌海市,海勃湾区,乌海市妇幼保健院,乌海市妇幼保健院,公立/综合医院,二级甲等
内蒙古,乌海市,海勃湾区,乌海市中蒙医院,乌海市中蒙医院,公立/综合医院,二级甲等
内蒙古,乌海市,海勃湾区,乌海市人民医院,乌海市人民医院,公立/综合医院,三级乙等
