省,市,区,全名,别名,性质,等级
内蒙古,赤峰市,红山区,中国人民解放军二九一医院,中国人民解放军二九一医院,公立/综合医院,一级甲等
内蒙古,赤峰市,红山区,赤峰学院附属医院赤峰市第三医院,赤峰学院附属医院赤峰市第三医院,公立/综合医院,一级甲等
内蒙古,赤峰市,红山区,赤峰上京内分泌专科医院,赤峰上京医院,民营/综合医院,未知
内蒙古,赤峰市,红山区,解放军第二二零医院泌尿外科中心,赤峰220医院,公立/综合医院,二级甲等
内蒙古,赤峰市,红山区,赤峰九洲医院,赤峰男科医院前列腺研究所,外资/专科医院,未评级
内蒙古,赤峰市,红山区,赤峰市东方医院,赤峰市东方医院,民营/综合医院,民营医院
内蒙古,赤峰市,红山区,红山机械厂职工医院,红山机械厂职工医院,公立/综合医院,未知
内蒙古,赤峰市,红山区,赤峰市中蒙医院,赤峰市中蒙医院,公立/综合医院,二级甲等
内蒙古,赤峰市,红山区,赤峰市红山区中医院,赤峰市红山区中医院,公立/综合医院,二级甲等
内蒙古,赤峰市,红山区,赤峰市第二医院,赤峰市第二医院,公立/综合医院,二级甲等
内蒙古,赤峰市,红山区,中国人民解放军第二二Ｏ医院,赤峰二二0医院男科泌尿系,公立/综合医院,二级甲等
内蒙古,赤峰市,红山区,赤峰市第三医院,赤峰市第三医院,公立/综合医院,二级甲等
内蒙古,赤峰市,红山区,赤峰学院附属医院,赤峰学院附属医院,公立/综合医院,三级乙等
内蒙古,赤峰市,红山区,赤峰新协和医院,赤峰协和医院,民营/综合医院,民营医院
内蒙古,赤峰市,红山区,赤峰复康医院,赤峰市康复培训中心复康医院,民营/综合医院,一级甲等
内蒙古,赤峰市,红山区,赤峰现代妇产医院,赤峰现代妇产医院,民营/综合医院,民营医院
内蒙古,赤峰市,红山区,赤峰阳光泌尿专科医院,赤峰阳光医院,公立/综合医院,二级乙等
