省,市,区,全名,别名,性质,等级
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯天王医学美容医院,鄂尔多斯天王医学美容院,民营/专科医院,民营医院
内蒙古,鄂尔多斯市,东胜区,伊克昭盟妇幼保健院,伊克昭盟妇幼保健院,公立/综合医院,一级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市社会福利院,鄂尔多斯市社会福利院,公立/综合医院,一级甲等
内蒙古,鄂尔多斯市,东胜区,东胜区妇幼保健所,东胜区妇幼保健所,公立/综合医院,未知
内蒙古,鄂尔多斯市,东胜区,东胜区人民医院,东胜区人民医院,公立/综合医院,二级乙等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市东胜区妇幼保健所,鄂尔多斯市东胜区妇幼保健所,公立/综合医院,二级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市心脑血管病医院,鄂尔多斯市心脑血管病医院,民营/专科医院,二级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市眼科医院,鄂尔多斯市眼科医院,民营/专科医院,二级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市妇幼保健院,鄂尔多斯市妇幼保健院,公立/综合医院,二级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市中医院,康巴什医院,公立/综合医院,二级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市第二人民医院,鄂尔多斯市第二人民医院,公立/综合医院,二级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市中心医院,鄂尔多斯市中心医院,公立/综合医院,三级甲等　　
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市蒙医院,鄂尔多斯市蒙医院,公立/综合医院,一级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯曙光泌尿外科医院,鄂尔多斯男科医院,民营/专科医院,未知
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市蒙医医院,鄂尔多斯市蒙医研究所,公立/综合医院,二级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯玛丽妇科医院,玛丽妇科医院,民营/专科医院,未评级
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯现代男科医院,鄂现代男科医院,民营/综合医院,未评级
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯生殖医院,鄂尔多斯生殖医院,民营/专科医院,未知
内蒙古,鄂尔多斯市,东胜区,伊克昭盟第二人民医院,伊克昭盟第二人民医院,公立/综合医院,一级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯市广厦医院,鄂尔多斯市广厦医院,公立/综合医院,二级甲等
内蒙古,鄂尔多斯市,东胜区,伊克昭盟中医院,伊克昭盟中医院,公立/综合医院,一级甲等
内蒙古,鄂尔多斯市,东胜区,鄂尔多斯现代泌尿专科医院,鄂尔多斯现代男科医院,其他/专科医院,三级甲等　　
