省,市,区,全名,别名,性质,等级
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔市海拉尔区曙光医院,呼伦贝尔市海拉尔区曙光医院,公立/综合医院,二级甲等
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔市海拉尔区传染病院,呼伦贝尔市海拉尔区传染病院,公立/综合医院,二级甲等
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔市海拉尔区妇幼保健所,呼伦贝尔市海拉尔区妇幼保健所,公立/综合医院,二级甲等
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔市海拉尔区第二人民医院,呼伦贝尔市海拉尔区第二人民医院,公立/综合医院,二级甲等
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔市海拉尔区第一人民医院,呼伦贝尔市海拉尔区第一人民医院,公立/综合医院,二级甲等
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔市曙光医院,呼伦贝尔市曙光医院,民营/综合医院,二级甲等
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔北大泌尿医院,呼伦贝尔北大医院,民营/综合医院,民营医院
内蒙古,呼伦贝尔市,海拉尔区,海拉尔区传染病院,海拉尔区传染病院,公立/传染病医院,未知
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔盟军区医院,呼伦贝尔盟军区医院,公立/综合医院,一级甲等
内蒙古,呼伦贝尔市,海拉尔区,海拉尔区农垦医院,海拉尔区农垦医院,公立/综合医院,二级甲等
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔市第一人民医院,呼伦贝尔市人民医院,公立/综合医院,三级乙等
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔博大泌尿医院,海拉尔博大医院,民营/专科医院,未评级
内蒙古,呼伦贝尔市,海拉尔区,内蒙古海拉尔农垦总医院,内蒙古海拉尔农垦总医院,公立/综合医院,二级甲等
内蒙古,呼伦贝尔市,海拉尔区,海拉尔区人民医院,海拉尔区人民医院,公立/综合医院,未知
内蒙古,呼伦贝尔市,海拉尔区,海拉尔友谊医院,海拉尔男妇科医院,民营/综合医院,未知
内蒙古,呼伦贝尔市,海拉尔区,海拉尔铁路中心医院,海拉尔铁路中心医院,公立/综合医院,二级甲等
内蒙古,呼伦贝尔市,海拉尔区,呼伦贝尔盟人民医院,呼伦贝尔盟人民医院,公立/综合医院,一级甲等
内蒙古,呼伦贝尔市,海拉尔区,海拉尔红十字女子医院,女子医院,公立/专科医院,一级甲等
内蒙古,呼伦贝尔市,海拉尔区,海拉尔铁路医院,海拉尔铁路医院,公立/综合医院,二级乙等
内蒙古,呼伦贝尔市,海拉尔区,海拉尔区传染病医院,海拉尔区传染病医院,公立/专科医院,二级甲等
