省,市,区,全名,别名,性质,等级
内蒙古,乌兰察布盟,集宁市,乌兰察布现代男科医院,乌兰察布现代男科,民营/专科医院,未知
内蒙古,乌兰察布盟,集宁市,乌盟精神病院,乌盟精神病院,公立/综合医院,一级甲等
内蒙古,乌兰察布盟,集宁市,乌兰察布盟精神病院,乌兰察布盟精神病院,公立/综合医院,一级甲等
内蒙古,乌兰察布盟,集宁市,乌盟妇幼保健所,乌盟妇幼保健所,公立/综合医院,一级甲等
内蒙古,乌兰察布盟,集宁市,乌盟卫生学校附属医院,乌盟卫生学校附属医院,公立/综合医院,一级甲等
内蒙古,乌兰察布盟,集宁市,乌兰察布市中心医院,乌兰察布市中心医院,公立/综合医院,三级乙等
内蒙古,乌兰察布盟,集宁市,乌兰察布市第三医院,乌兰察布市第三医院,公立/综合医院,二级乙等
内蒙古,乌兰察布盟,集宁市,集宁市二轻职工医院,集宁市二轻职工医院,公立/综合医院,未知
内蒙古,乌兰察布盟,集宁市,集宁市妇幼保健所,集宁市妇幼保健所,公立/综合医院,未知
内蒙古,乌兰察布盟,集宁市,集宁市中蒙医院,集宁市中蒙医院,公立/综合医院,未知
内蒙古,乌兰察布盟,集宁市,集宁市人民医院,集宁市人民医院,公立/综合医院,未知
内蒙古,乌兰察布盟,集宁市,集宁市盟精神病院,集宁市盟精神病院,公立/综合医院,未知
内蒙古,乌兰察布盟,集宁市,集宁市铁路医院,集宁市铁路医院,公立/综合医院,未知
内蒙古,乌兰察布盟,集宁市,集宁市医院,集宁市医院,公立/综合医院,未知
