省,市,区,全名,别名,性质,等级
内蒙古,兴安盟,满洲里市,满州里市第一医院南区医院,满州里市第一医院南区医院,公立/综合医院,一级甲等
内蒙古,兴安盟,满洲里市,满洲里市扎区中医医院,满洲里市扎区中医医院,公立/中医医院,一级乙等
内蒙古,兴安盟,满洲里市,满州里铁路医院,满州里铁路医院,公立/综合医院,一级甲等
内蒙古,兴安盟,满洲里市,满洲里市扎赉诺尔矿区中蒙医院,满洲里市扎赉诺尔矿区中蒙医院,公立/综合医院,一级甲等
内蒙古,兴安盟,满洲里市,满洲里市中蒙医院,满洲里市中蒙医院,公立/综合医院,二级乙等
内蒙古,兴安盟,满洲里市,满洲里市第二医院,满洲里市第二医院,公立/综合医院,二级乙等
内蒙古,兴安盟,满洲里市,满洲里市平安创伤医院,满洲里市平安创伤医院,民营/综合医院,二级甲等
内蒙古,兴安盟,满洲里市,满洲里市华颐老年病防治院,满洲里市华颐老年病防治院,公立/综合医院,二级甲等
内蒙古,兴安盟,满洲里市,满洲里市妇幼保健所,满洲里市妇幼保健所,公立/综合医院,二级甲等
内蒙古,兴安盟,满洲里市,满州里市第一医院,满州里市第一医院,公立/综合医院,二级甲等
内蒙古,兴安盟,满洲里市,满洲里市第一医院,满洲里市第一医院,公立/综合医院,二级甲等
