省,市,区,全名,别名,性质,等级
江苏省,南京市,玄武区,南京华厦银屑病医院,南京牛皮癣医院,其他/其他,未知
江苏省,南京市,玄武区,南京华厦白癜风研究所,南京白癜风医院,公立/专科医院,未知
江苏省,南京市,玄武区,中国医学科学院皮肤病研究所（医院）,中国医学科学院皮肤病研究所,公立/综合医院,一级甲等
江苏省,南京市,玄武区,江苏省东南大学医院,江苏省东南大学医院,公立/综合医院,一级甲等
江苏省,南京市,玄武区,南京铁医红山医院,南京铁医红山医院,公立/综合医院,一级甲等
江苏省,南京市,玄武区,南京同善门诊部,南京同善门诊部,民营/门诊,未知
江苏省,南京市,玄武区,南京健康园门诊部,南京健康园门诊部,其他/门诊,未知
江苏省,南京市,玄武区,南京前线噪音医院,南京前线噪音医院,民营/综合医院,未知
江苏省,南京市,玄武区,南京半山医院,南京半山医院,公立/综合医院,未知
江苏省,南京市,玄武区,南京金陵仓波门医院,南京金陵仓波门医院,公立/综合医院,未知
江苏省,南京市,玄武区,南京扬子医院,南京扬子医院,公立/综合医院,二级甲等
江苏省,南京市,玄武区,中国医学科学院皮肤病院,中国医学科学院皮肤病院,公立/专科医院,三级甲等　　
江苏省,南京市,玄武区,江苏省肿瘤医院,江苏省肿瘤医院,公立/专科医院,三级甲等　　
江苏省,南京市,玄武区,南京曙光医院,南京曙光肛肠专业医院,合资/专科医院,未知
江苏省,南京市,玄武区,南京市玄武医院,南京市玄武医院,公立/综合医院,二级甲等
江苏省,南京市,玄武区,南京红十字康宁医院（民营）,南京红十字康宁医院（民营）,个体户/综合医院,一级甲等
江苏省,南京市,玄武区,南京华美美容医院,南京华美美容医院,其他/其他,未知
江苏省,南京市,玄武区,南京张安林风湿病门诊部,南京张安林风湿病门诊部,民营/门诊,未知
江苏省,南京市,玄武区,南京市金陵孕育专科门诊部,南京市金陵孕育专科门诊部,民营/其他,未知
江苏省,南京市,玄武区,南京市玄武区口腔病防治所,南京市玄武区口腔病防治所,其他/其他,未知
江苏省,南京市,玄武区,江苏省临床检验中心,江苏省临床检验中心,其他/其他,未知
江苏省,南京市,玄武区,南京邦德骨科医院,南医大邦德骨科医院,其他/专科医院,未评级
江苏省,南京市,玄武区,南京军区机关医院,南京军区司令部门诊部,公立/综合医院,三级甲等　　
江苏省,南京市,玄武区,南京龙蟠医院,南京龙蟠医院,公立/综合医院,一级甲等
江苏省,南京市,玄武区,南京市中西医结合医院,南京市钟山医院,公立/综合医院,二级甲等
江苏省,南京市,玄武区,东南大学医院,东南大学医院,公立/综合医院,一级甲等
江苏省,南京市,玄武区,南京华西妇科医院,南京华西妇科医院,民营/专科医院,未知
江苏省,南京市,玄武区,南京和燕生殖医学研究所,南京和燕男科医院,民营/综合医院,三级乙等
江苏省,南京市,玄武区,南空机关医院,南空机关医院儿童发育行为科,公立/综合医院,未知
江苏省,南京市,玄武区,南京广济血管瘤研究院,南京广济门诊部,其他/其他,未评级
江苏省,南京市,玄武区,康美国际整形医院,南京整形医院，南京康美整形医院,民营/综合医院,未评级
江苏省,南京市,玄武区,南京尔康强直性脊柱炎研究所,南京尔康强直性脊柱炎医院、南京尔康医院,其他/专科医院,未知
江苏省,南京市,玄武区,中国医学科学院皮肤病医院,中国医学科学院皮肤病医院,其他/专科医院,未知
江苏省,南京市,玄武区,南京金域医学检测中心,南京金域医学检测中心,其他/其他,未知
江苏省,南京市,玄武区,南京体育学院医院,南京体育学院医院,其他/综合医院,未知
