省,市,区,全名,别名,性质,等级
江苏省,南京市,白下区,南京市白下区妇幼保健所,南京市白下区妇幼保健所,公立/综合医院,未知
江苏省,南京市,白下区,南京市蓝旗医院,南京市蓝旗医院,公立/综合医院,一级甲等
江苏省,南京市,白下区,南京和平医院,南京和平医院,公立/综合医院,二级乙等
江苏省,南京市,白下区,南京市妇幼保健院,南京市妇幼保健院,公立/专科医院,三级甲等　　
江苏省,南京市,白下区,南京军区南京总医院,南京军区南京总医院,公立/综合医院,三级甲等　　
江苏省,南京市,白下区,中国人民解放军第八一医院,中国人民解放军第八一医院,公立/综合医院,三级甲等　　
江苏省,南京市,白下区,中国人民解放军第四五四医院,454医院,公立/综合医院,三级甲等　　
江苏省,南京市,白下区,南京市白下区中医院,南京市白下区中医院,公立/综合医院,二级甲等
江苏省,南京市,白下区,南京紫金医院,南京紫金医院,民营/专科医院,未知
江苏省,南京市,白下区,南京东南眼科医院,南京东南眼科医院,民营/专科医院,二级甲等
江苏省,南京市,白下区,南京新协和不孕不育医院,南京新协和不孕不育医院,个体户/专科医院,一级甲等
江苏省,南京市,白下区,南京市红十字会医院,南京市惠民医院，中国红十字会总会南京医院,公立/综合医院,二级甲等
江苏省,南京市,白下区,南京延龄医院（民营）,南京延龄医学研究院,民营/综合医院,未评级
江苏省,南京市,白下区,南京恒大中医医院,南京恒大中医医院,公立/综合医院,二级甲等
江苏省,南京市,白下区,江苏省妇幼保健院,省妇幼保健中心,公立/综合医院,一级甲等
江苏省,南京市,白下区,解放军第四五四医院,南京454医院,公立/综合医院,三级甲等　　
江苏省,南京市,白下区,南京海福医院（民营）,南京海福医院（民营）,个体户/综合医院,一级甲等
江苏省,南京市,白下区,南京市红十字医院,中国红十字会总会南京医院，南京市惠民医院,公立/综合医院,二级甲等
江苏省,南京市,白下区,南京迪安检测中心,南京迪安检测中心,其他/其他,未知
江苏省,南京市,白下区,南京华诺口腔门诊部,南京华诺口腔门诊部,民营/门诊,未知
江苏省,南京市,白下区,南京金台口腔门诊部,南京金台口腔门诊部,其他/门诊,未知
江苏省,南京市,白下区,南京斯麦尔口腔门诊部,南京斯麦尔口腔门诊部,其他/门诊,未知
江苏省,南京市,白下区,南京思为你口腔门诊部,南京思为你口腔门诊部,民营/门诊,未知
江苏省,南京市,白下区,南京东院专科门诊部,南京东院专科门诊部,其他/门诊,未知
江苏省,南京市,白下区,南京荣生门诊部,南京荣生门诊部,其他/门诊,未知
江苏省,南京市,白下区,江苏现代女子医疗保健院,江苏现代女子医疗保健院,其他/其他,未知
江苏省,南京市,白下区,南京咸慈中医肾病专科医院,南京咸慈中医肾病专科医院,其他/专科医院,未知
江苏省,南京市,白下区,南京美迪亚妇科医院,南京美迪亚妇科医院,其他/专科医院,未知
江苏省,南京市,白下区,南京建工医院,南京建工医院,其他/综合医院,一级甲等
