省,市,区,全名,别名,性质,等级
江苏省,南京市,秦淮区,南京集庆门医院,南京集庆门医院,其他/综合医院,未知
江苏省,南京市,秦淮区,南京双龙医院,南京双龙医院,公立/综合医院,未知
江苏省,南京市,秦淮区,南京中草医院,夫子庙社区卫生服务中心,公立/综合医院,未知
江苏省,南京市,秦淮区,南京秦淮门西医院,南京秦淮门西医院,公立/综合医院,未知
江苏省,南京市,秦淮区,南京市秦淮区妇幼保健所,南京市秦淮区妇幼保健所,公立/综合医院,未知
江苏省,南京市,秦淮区,南京市秦淮区牙病防治所,南京市秦淮区牙病防治所,公立/综合医院,未知
江苏省,南京市,秦淮区,南京建国男科医院,南京建国男科医院,民营/专科医院,未知
江苏省,南京市,秦淮区,南京中医院,南京中医院,公立/综合医院,三级甲等　　
江苏省,南京市,秦淮区,南京市第一医院,南京医科大学附属南京第一医院、南京医科大学第三临床医学院、南京市心血管病医院,公立/综合医院,三级甲等　　
江苏省,南京市,秦淮区,南京市秦淮医院,南京市秦淮医院,公立/综合医院,二级甲等
江苏省,南京市,秦淮区,南京市秦淮中医院,南京市秦淮中医院,公立/综合医院,二级甲等
江苏省,南京市,秦淮区,南京市第一医院分院,南京市雨花医院,公立/综合医院,二级甲等
江苏省,南京市,秦淮区,南京爱尔眼科医院,南京爱尔,民营/专科医院,一级甲等
江苏省,南京市,秦淮区,南京维多利亚美容门诊部,南京整形医院，南京维多利亚美容,民营/门诊,未评级
江苏省,南京市,秦淮区,解放军四五四医院,解放军第四五四医院,公立/综合医院,三级甲等　　
江苏省,南京市,秦淮区,南京邮政医院,南京邮政医院,其他/综合医院,未知
江苏省,南京市,秦淮区,南京金沙口腔门诊部,南京金沙口腔门诊部,其他/门诊,未知
江苏省,南京市,秦淮区,南京鑫英口腔门诊部,南京鑫英口腔门诊部,其他/门诊,未知
江苏省,南京市,秦淮区,南京市秦淮区龙苑社区卫生服务站,南京市秦淮区龙苑社区卫生服务站,其他/其他,未知
江苏省,南京市,秦淮区,南京博大肾科医院,南京博大肾科医院,其他/专科医院,未知
江苏省,南京市,秦淮区,南京新时代妇科医院,南京新时代妇科医院,其他/专科医院,未知
江苏省,南京市,秦淮区,南京市新协和医院,南京市新协和医院,民营/综合医院,未知
江苏省,南京市,秦淮区,南京市秦淮区口腔病防治所,南京市秦淮区口腔病防治所,其他/其他,未知
江苏省,南京市,秦淮区,国营第五二八厂职工医院,国营第五二八厂职工医院,其他/综合医院,一级乙等
江苏省,南京市,秦淮区,南京水西门医院,南京水西门医院,其他/综合医院,一级甲等
