省,市,区,全名,别名,性质,等级
江苏省,南京市,鼓楼区,南京铁路分局中心医院,南京铁路分局中心医院,公立/综合医院,一级甲等
江苏省,南京市,鼓楼区,南京市房产管理局职工医院,南京市房产管理局职工医院,公立/综合医院,一级甲等
江苏省,南京市,鼓楼区,南京市鼓楼医院北院,南京市第三医院,公立/综合医院,二级甲等
江苏省,南京市,鼓楼区,南京爱康医院,跃进汽车集团公司职工医院,公立/综合医院,二级甲等
江苏省,南京市,鼓楼区,江苏武警总队南京医院,武警南京医院,公立/综合医院,二级甲等
江苏省,南京市,鼓楼区,南京天伦医院,天伦不孕不育南京总医院,其他/综合医院,未知
江苏省,南京市,鼓楼区,南京华肤医院,南京华肤皮肤病研究所,民营/专科医院,未知
江苏省,南京市,鼓楼区,康贝佳口腔医院,康贝佳口腔连锁机构,民营/专科医院,民营医院
江苏省,南京市,鼓楼区,南京脑康中医医院,南京脑康精神病医院,公立/综合医院,三级甲等　　
江苏省,南京市,鼓楼区,南京科大医院,南京科大医院,民营/综合医院,未知
江苏省,南京市,鼓楼区,南京侯丽萍医院,中医院,民营/综合医院,未评级
江苏省,南京市,鼓楼区,江苏民政康复医院,江苏民政康复医院-发育行为科,其他/综合医院,未知
江苏省,南京市,鼓楼区,江苏省老年医院,江苏省省级机关医院,公立/综合医院,一级甲等
江苏省,南京市,鼓楼区,南京铁路中心医院,南京铁路中心医院,公立/综合医院,一级甲等
江苏省,南京市,鼓楼区,徐州市眼病防治研究所,徐州市眼病防治研究所,公立/专科医院,未知
江苏省,南京市,鼓楼区,徐州市职业病防治院,徐州市职业病防治院,公立/综合医院,未知
江苏省,南京市,鼓楼区,徐州瑞博中西医结合医院,徐州瑞博医院,民营/综合医院,未知
江苏省,南京市,鼓楼区,徐州市二轻局职工医院,徐州市二轻局职工医院,公立/综合医院,未知
江苏省,南京市,鼓楼区,徐州煤矿机械厂职工医院,徐州煤矿机械厂职工医院,公立/综合医院,未知
江苏省,南京市,鼓楼区,徐州市粮食局职工医院,徐州市粮食局职工医院,公立/综合医院,未知
江苏省,南京市,鼓楼区,徐州市交通医院,徐州市交通医院,公立/综合医院,未知
江苏省,南京市,鼓楼区,徐州仁慈手外科医院,徐州仁慈手外科医院,民营/综合医院,未知
江苏省,南京市,鼓楼区,徐州市化工医院,徐州市化工医院,公立/综合医院,未知
