省,市,区,全名,别名,性质,等级
江苏省,南京市,下关区,南京现代长城皮肤病医院,南京现代长城牛皮癣研究所,其他/专科医院,未评级
江苏省,南京市,下关区,南京仁康增高诊疗研究中心,南京长高医院、微创增高手术医院,其他/专科医院,未评级
江苏省,南京市,下关区,南京仁康神经内科研究院,南京抑郁症医院、南京市精神卫生中心,其他/专科医院,未知
江苏省,南京市,下关区,南京仁康医院,南京仁康医院|南京治疗精神病专科医院,其他/专科医院,未知
江苏省,南京市,下关区,南京414医院,上海长征医院南京分院,公立/综合医院,三级甲等　　
江苏省,南京市,下关区,南京市下关妇幼保健所,南京市下关妇幼保健所,公立/综合医院,未知
江苏省,南京市,下关区,南京汽轮电机厂职工医院,南京汽轮电机厂职工医院,公立/综合医院,未知
江苏省,南京市,下关区,南京市新光医院,南京市新光医院,民营/综合医院,未知
江苏省,南京市,下关区,南京港口医院,南京港口医院,合资/综合医院,二级乙等
江苏省,南京市,下关区,南京医科大学第二附属医院,南京医科大学附属儿童医院、江苏省第二红十字医院,公立/综合医院,三级甲等　　
江苏省,南京市,下关区,第二军医大学长征医院南京分院,南京414医院,公立/综合医院,三级甲等　　
江苏省,南京市,下关区,第二军医大学长征医院南京分院,南京海军414医院,公立/综合医院,三级甲等　　
江苏省,南京市,下关区,南京大学医学院第二附属医院,南京大学医学院附属儿童医院江苏省第二红十字医院,公立/综合医院,三级甲等　　
江苏省,南京市,下关区,南京康爱医院,南京康爱医院,公立/综合医院,一级甲等
江苏省,南京市,下关区,东南大学附属中大医院下关分院,东南大学附属中大医院下关分院,公立/综合医院,二级乙等
江苏省,南京市,下关区,上海长征医院南京分院,南京海军414医院,公立/综合医院,三级甲等　　
江苏省,南京市,下关区,中国人民解放军四一四医院,中国人民解放军四一四医院,公立/综合医院,三级甲等　　
江苏省,南京市,下关区,南京新世纪中医医院,南京新世纪中医院,民营/综合医院,未知
江苏省,南京市,下关区,南京虹海口腔门诊部,南京虹海口腔门诊部,其他/门诊,未知
江苏省,南京市,下关区,南京外滩门诊部,南京外滩门诊部,民营/门诊,未知
江苏省,南京市,下关区,南京市下关区口腔病防治所,南京市下关区口腔病防治所,其他/其他,未知
江苏省,南京市,下关区,江苏紫金集团有限公司医院,江苏紫金集团有限公司医院,其他/综合医院,一级甲等
