省,市,区,全名,别名,性质,等级
江苏省,南京市,六合区,六合区大厂医院,六合区大厂医院,公立/综合医院,二级乙等
江苏省,南京市,六合区,南钢集团公司医院,南钢集团公司医院,公立/综合医院,一级甲等
江苏省,南京市,六合区,扬子石油化工公司医院扬子医院,扬子石油化工公司医院扬子医院,公立/综合医院,一级甲等
江苏省,南京市,六合区,中国石化集团南京化学工业有限公司职工医院,中国石化集团南京化学工业有限公司职工医院,公立/综合医院,一级甲等
江苏省,南京市,六合区,扬郭医院,扬郭医院,公立/综合医院,一级甲等
江苏省,南京市,六合区,南京江北人民医院,南化医院,公立/综合医院,一级甲等
江苏省,南京市,六合区,南京六合瑞金医院,南京六合瑞金医院,民营/专科医院,未评级
江苏省,南京市,六合区,南京市六合区中医院,南京市六合区中医院,公立/综合医院,未知
江苏省,南京市,六合区,南京市六合区妇幼保健所,南京市六合区妇幼保健所,公立/综合医院,未知
江苏省,南京市,六合区,六合县中医医院,六合县中医医院,公立/综合医院,未知
江苏省,南京市,六合区,六合县人民医院,六合县人民医院,公立/综合医院,二级甲等
江苏省,南京市,六合区,南京市六合区人民医院,南京市六合区人民医院,公立/综合医院,二级甲等
江苏省,南京市,六合区,南京市大厂医院,南京市大厂中西医结合医院,公立/综合医院,二级甲等
江苏省,南京市,六合区,南京钢铁集团冶山矿业有限公司医院,南京钢铁集团冶山矿业有限公司医院,其他/综合医院,一级甲等
江苏省,南京市,六合区,中国化学工程第十四建设公司职工医院,中国化学工程第十四建设公司职工医院,其他/综合医院,一级甲等
