省,市,区,全名,别名,性质,等级
江苏省,南京市,栖霞区,金陵石油化工公司化肥厂医院,金陵石油化工公司化肥厂医院,公立/综合医院,一级甲等
江苏省,南京市,栖霞区,金陵石油化工公司烷基苯厂职工医院,金陵石油化工公司烷基苯厂职工医院,公立/综合医院,一级甲等
江苏省,南京市,栖霞区,金陵石油化工公司化工一厂职工医院,金陵石油化工公司化工一厂职工医院,公立/综合医院,一级甲等
江苏省,南京市,栖霞区,金陵石油化工公司南京市炼油厂职工医院,金陵石油化工公司南京市炼油厂职工医院,公立/综合医院,一级甲等
江苏省,南京市,栖霞区,金陵石油化工公司塑料厂职工医院,金陵石油化工公司塑料厂职工医院,公立/综合医院,一级甲等
江苏省,南京市,栖霞区,金陵石油化工热电厂职工医院,金陵石油化工热电厂职工医院,公立/综合医院,一级甲等
江苏省,南京市,栖霞区,金陵石油化工公司炼油厂职工医院,金陵石油化工公司炼油厂职工医院,公立/综合医院,一级甲等
江苏省,南京市,栖霞区,南京烷基苯医院,南京烷基苯医院,其他/综合医院,三级乙等
江苏省,南京市,栖霞区,南京自然医学会和燕门诊部,南京自然医学会和燕门诊部,其他/其他,未知
江苏省,南京市,栖霞区,中国石化集团第二建设公司职工医院,中国石化集团第二建设公司职工医院,其他/综合医院,一级甲等
江苏省,南京市,栖霞区,南京市化学纤维厂职工医院,南京市化学纤维厂职工医院,其他/综合医院,一级医院
江苏省,南京市,栖霞区,金陵石油化工公司化肥厂职工医院,金陵石油化工公司化肥厂职工医院,其他/综合医院,一级甲等
江苏省,南京市,栖霞区,南京市华东电子集团公司医院,南京市华东电子集团公司医院,其他/综合医院,一级甲等
江苏省,南京市,栖霞区,南京电气(集团)有限责任公司职工医院,南京电气(集团)有限责任公司职工医院,其他/综合医院,一级乙等
江苏省,南京市,栖霞区,南京蓝天门诊部,南京蓝天门诊部,民营/专科医院,未知
江苏省,南京市,栖霞区,江苏省煤炭医院,江苏省煤炭医院,公立/综合医院,未知
江苏省,南京市,栖霞区,栖霞市精神病院,栖霞市精神病院,公立/综合医院,未知
江苏省,南京市,栖霞区,栖霞市妇幼保健院,栖霞市妇幼保健院,公立/综合医院,一级甲等
江苏省,南京市,栖霞区,南京市栖霞区医院,南京市栖霞区医院,公立/综合医院,二级乙等
江苏省,南京市,栖霞区,栖霞市中医院,栖霞市中医院,公立/综合医院,二级甲等
江苏省,南京市,栖霞区,江苏省中西医结合医院,江苏省中医药研究院,公立/综合医院,三级甲等　　
江苏省,南京市,栖霞区,江苏省中医药研究院,江苏省中西医结合医院,公立/综合医院,三级甲等　　
江苏省,南京市,栖霞区,南京市栖霞区龙潭医院,南京市栖霞区龙潭医院,公立/综合医院,二级甲等
江苏省,南京市,栖霞区,南京市栖霞医院,南京市栖霞医院,公立/综合医院,二级甲等
江苏省,南京市,栖霞区,南京市市级机关医院,南京市市级机关医院,公立/综合医院,二级甲等
江苏省,南京市,栖霞区,南京东瑞医院,金陵石油化工公司炼油厂职工医院,公立/综合医院,二级甲等
