省,市,区,全名,别名,性质,等级
江苏省,南京市,雨花台区,南京双尤医院,南京双尤医院,民营/综合医院,未知
江苏省,南京市,雨花台区,南京益来医院,南京益来医院,民营/综合医院,未知
江苏省,南京市,雨花台区,南京市雨花台区妇幼保健所,南京市雨花台区妇幼保健所,公立/综合医院,未知
江苏省,南京市,雨花台区,南京玛丽妇科医院,南京玛丽医院,合资/专科医院,未知
江苏省,南京市,雨花台区,上海梅山第二医院,上海梅山第二医院,公立/综合医院,一级甲等
江苏省,南京市,雨花台区,上海梅山冶金公司职工医院,上海梅山冶金公司职工医院,公立/综合医院,一级甲等
江苏省,南京市,雨花台区,上海梅山冶金公司铁矿医院,上海梅山冶金公司铁矿医院,公立/综合医院,一级甲等
江苏省,南京市,雨花台区,上海梅山医院,上海梅山医院,公立/综合医院,一级甲等
江苏省,南京市,雨花台区,南京中南门诊部,南京中南门诊部,其他/门诊,未知
江苏省,南京市,雨花台区,南京雨花门诊部,南京雨花门诊部,其他/其他,未知
江苏省,南京市,雨花台区,南京市雨花台区口腔病防治所,南京市雨花台区口腔病防治所,其他/其他,未知
江苏省,南京市,雨花台区,南京绿洲机器厂职工医院,南京绿洲机器厂职工医院,其他/综合医院,未知
江苏省,南京市,雨花台区,江苏省南京监狱医院,江苏省南京监狱医院,其他/综合医院,一级医院
