省,市,区,全名,别名,性质,等级
江苏省,南京市,江宁区,南京同仁医院,南京同仁医院,个体户/综合医院,未知
江苏省,南京市,江宁区,南京市泉东医院,南京市泉东医院,公立/综合医院,未知
江苏省,南京市,江宁区,江宁县人民医院,江宁县人民医院,公立/综合医院,未知
江苏省,南京市,江宁区,江宁县中医医院,江宁县中医医院,公立/综合医院,二级甲等
江苏省,南京市,江宁区,南京市青龙山精神病院,南京市青龙山精神病院,公立/综合医院,二级甲等
江苏省,南京市,江宁区,南京市江宁区妇幼保健所,南京市江宁区妇幼保健所,公立/综合医院,二级甲等
江苏省,南京市,江宁区,南京市江宁医院,南京市江宁医院,公立/综合医院,未知
江苏省,南京市,江宁区,南京市江宁区第二人民医院,南京市江宁区第二人民医院,公立/综合医院,二级甲等
江苏省,南京市,江宁区,江苏邮政老年康复中心,江苏邮政老年康复中心,公立/综合医院,一级甲等
江苏省,南京市,江宁区,南京市江宁人民医院,南京市江宁人民医院,公立/综合医院,未知
江苏省,南京市,江宁区,南京市江宁区人民医院, 南京市江宁区人民医院,公立/综合医院,二级甲等
江苏省,南京市,江宁区,南京永平显微外科医院,南京永平显微外科医院,其他/专科医院,未知
江苏省,南京市,江宁区,南京市江宁区红十字社区卫生服务站,南京市江宁区红十字社区卫生服务站,其他/其他,未知
江苏省,南京市,江宁区,南京世纪现代妇科医院,南京世纪现代妇科医院,其他/专科医院,一级医院
江苏省,南京市,江宁区,南京江宁荣平医院,南京江宁荣平医院,其他/综合医院,未知
江苏省,南京市,江宁区,南京吉山铁矿职工医院,南京吉山铁矿职工医院,其他/综合医院,一级医院
江苏省,南京市,江宁区,江苏省江宁监狱医院,江苏省江宁监狱医院,其他/综合医院,一级医院
江苏省,南京市,江宁区,南京江宁新城医院,江宁新城医院,民营/专科医院,民营医院
江苏省,南京市,江宁区,南京侯氏风湿研究院,侯氏风湿,民营/专科医院,未知
江苏省,南京市,江宁区,南京江宁五洲医院,南京五洲医院,民营/综合医院,未评级
江苏省,南京市,江宁区,南京江宁友爱医院,江宁友爱医院,民营/综合医院,未知
