省,市,区,全名,别名,性质,等级
江苏省,连云港市,连云区,连云港市红十字医院,连云港市红十字医院,公立/综合医院,未知
江苏省,连云港市,连云区,连云港市老年病防治研究所门诊,连云港市老年病防治研究所门诊,公立/综合医院,未知
江苏省,连云港市,连云区,中国石化有限公司连云港碱厂职工医院,中国石化有限公司连云港碱厂职工医院,公立/综合医院,未知
江苏省,连云港市,连云区,连云港市三航五公司卫生所,连云港市三航五公司卫生所,公立/综合医院,未知
江苏省,连云港市,连云区,连云区台联诊所,连云区台联诊所,民营/综合医院,未知
江苏省,连云港市,连云区,江苏省连云港海滨疗养院,江苏省连云港海滨疗养院,公立/综合医院,未知
江苏省,连云港市,连云区,连云港市云台区人民医院,连云港市云台区人民医院,公立/综合医院,未知
江苏省,连云港市,连云区,连云港市经济技术开发区中云医院,连云港市经济技术开发区中云医院,公立/综合医院,未知
江苏省,连云港市,连云区,连云港市连云区妇幼保健所,连云港市连云区妇幼保健所,公立/综合医院,未知
江苏省,连云港市,连云区,连云港友谊医院,连云港友谊医院,公立/综合医院,未知
江苏省,连云港市,连云区,连云港市中医药研究所附属医院,连云港市中医药研究所附属医院,公立/综合医院,未知
江苏省,连云港市,连云区,连云港市第四人民医院,市传染病医院、市精神病防治院,公立/综合医院,未知
江苏省,连云港市,连云区,连云港市连云区港城医院,连云港市连云区港城医院,公立/综合医院,未知
江苏省,连云港市,连云区,连云港市恒康医院,连云港市恒康医院,民营/综合医院,一级甲等
江苏省,连云港市,连云区,连云港市第三人民医院,连云港市妇幼保健院、连云港市妇女儿童医院,公立/综合医院,二级乙等
江苏省,连云港市,连云区,连云港圣良骨科医院,原连云港云山骨科医院,民营/专科医院,二级乙等
江苏省,连云港市,连云区,连云港友好医院,连云港友好医院,公立/综合医院,二级乙等
江苏省,连云港市,连云区,连云港海港医院,连云港海港医院,公立/综合医院,二级甲等
江苏省,连云港市,连云区,连云港长寿医院,连云市皮肤病防治所,公立/综合医院,二级甲等
江苏省,连云港市,连云区,连云港市新浦区人民医院,连云港市新浦区人民医院,公立/综合医院,二级甲等
江苏省,连云港市,连云区,连云港市东方医院,连云港市涉外医院,公立/综合医院,三级乙等
江苏省,连云港市,连云区,连云港市海港医院,连云港市海港医院,公立/综合医院,二级甲等
江苏省,连云港市,连云区,连云港市第二人民医院连云港市肿瘤医院,连云港市第二人民医院连云港市肿瘤医院,公立/综合医院,二级甲等
江苏省,连云港市,连云区,中国人民解放军一四九医院,中国人民解放军一四九医院,公立/综合医院,一级甲等
江苏省,连云港市,连云区,连云港云港医院,连云港云港医院,其他/综合医院,未知
江苏省,连云港市,连云区,连云港泰达医院,连云港泰达医院,其他/综合医院,未知
江苏省,连云港市,连云区,连云港台北医院,连云港台北医院,其他/综合医院,二级甲等
江苏省,连云港市,连云区,金桥盐业公司台南盐场医院,金桥盐业公司台南盐场医院,其他/综合医院,二级甲等
江苏省,连云港市,连云区,金桥盐业公司徐圩盐场医院,金桥盐业公司徐圩盐场医院,其他/综合医院,二级甲等
江苏省,连云港市,连云区,南化(集团)公司连云港碱厂职工医院,南化(集团)公司连云港碱厂职工医院,其他/综合医院,二级甲等
江苏省,连云港市,连云区,徐杨医疗美容门诊部,徐杨医疗美容门诊部,民营/其他,未知
江苏省,连云港市,连云区,惠民专科门诊部,惠民专科门诊部,其他/门诊,未知
江苏省,连云港市,连云区,大岭头门诊部,大岭头门诊部,其他/门诊,未知
江苏省,连云港市,连云区,布衣堂综合门诊部,布衣堂综合门诊部,民营/门诊,未知
江苏省,连云港市,连云区,连云区康民门诊部,连云区康民门诊部,其他/门诊,未知
江苏省,连云港市,连云区,连云区西小区门诊部,连云区西小区门诊部,其他/门诊,未知
