省,市,区,全名,别名,性质,等级
江苏省,连云港市,灌云县,灌云县精神病医院,灌云县精神病医院,公立/综合医院,未知
江苏省,连云港市,灌云县,灌云县中医院,灌云县中医院,公立/综合医院,未知
江苏省,连云港市,灌云县,江苏省国营东辛农场医院,江苏省国营东辛农场医院,公立/综合医院,未知
江苏省,连云港市,灌云县,灌云县仁济医院,灌云县仁济医院,民营/综合医院,未知
江苏省,连云港市,灌云县,灌云县人民医院,灌云县人民医院,公立/综合医院,二级乙等
江苏省,连云港市,灌云县,江苏省东辛集团职工医院,江苏省东辛集团职工医院,公立/综合医院,一级甲等
江苏省,连云港市,灌云县,灌云县博爱医院,灌云县博爱医院,其他/综合医院,三级乙等
江苏省,连云港市,灌云县,灌云县精神病防治院,灌云县精神病防治院,其他/其他,未知
江苏省,连云港市,灌云县,连云港市灌云仁济医院,连云港市灌云仁济医院,其他/综合医院,未知
江苏省,连云港市,灌云县,连云港市东辛农场医院,连云港市东辛农场医院,其他/综合医院,三级乙等
江苏省,连云港市,灌云县,灌云中山综合门诊部,灌云中山综合门诊部,其他/门诊,未知
江苏省,连云港市,灌云县,灌云县永泰医院,灌云县永泰医院,其他/综合医院,一级医院
江苏省,连云港市,灌云县,灌云监狱医院,灌云监狱医院,其他/综合医院,一级甲等
