省,市,区,全名,别名,性质,等级
江苏省,淮安市,楚州区,楚州区三堡卫生院, 楚州区三堡卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市第二人民医院第二门诊部,淮安市第二人民医院第二门诊部,公立/综合医院,未知
江苏省,淮安市,楚州区,江苏省淮安市南门社区卫生服务站,江苏省淮安市南门社区卫生服务站,公立/综合医院,未知
江苏省,淮安市,楚州区,江苏省淮安市石桥社区卫生服务站,江苏省淮安市石桥社区卫生服务站,公立/综合医院,未知
江苏省,淮安市,楚州区,江苏省淮安市城河社区卫生服务站,江苏省淮安市城河社区卫生服务站,公立/综合医院,未知
江苏省,淮安市,楚州区,淮安市塑料厂卫生所,淮安市塑料厂卫生所,公立/综合医院,未知
江苏省,淮安市,楚州区,淮安市楚州区中医院北门分院,淮安市楚州区中医院北门分院,公立/综合医院,未知
江苏省,淮安市,楚州区,楚州医院机关门诊室,楚州医院机关门诊室,公立/综合医院,未知
江苏省,淮安市,楚州区,楚州区医院南门社区服务站,楚州区医院南门社区服务站,公立/综合医院,未知
江苏省,淮安市,楚州区,楚州区新安医院,楚州区新安医院,公立/综合医院,未知
江苏省,淮安市,楚州区,楚州区供电局医务室,楚州区供电局医务室,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区南马厂乡卫生院,淮安市楚州区南马厂乡卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,江苏省白马湖农场卫生院,江苏省白马湖农场卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区范集卫生院,淮安市楚州区范集卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区南闸镇卫生院,淮安市楚州区南闸镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区林集中心卫生院,淮安市楚州区林集中心卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,楚州区三堡卫生院,楚州区三堡卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区淮城医院,淮城社区卫生服务中心,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,楚州区席桥卫生院,楚州区席桥卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,江苏楚州区城东卫生院,江苏楚州区城东卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区季桥镇卫生院,淮安市楚州区季桥镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区顺河人民卫生院,淮安市楚州区顺河人民卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区宋集卫生院桥头分院,淮安市楚州区宋集卫生院桥头分院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,楚州区钦工卫生院,楚州区钦工卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区茭陵卫生院,淮安市楚州区茭陵卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区苏嘴中心卫生院,淮安市楚州区苏嘴中心卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区复兴镇卫生院,淮安市楚州区复兴镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区仇桥乡卫生院,淮安市楚州区仇桥乡卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市博里卫生院,淮安市博里卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区流均人民卫生院,淮安市楚州区流均人民卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区泾口镇卫生院,淮安市楚州区泾口镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区车桥中心卫生院,淮安市楚州区车桥中心卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,楚州区施河卫生院,楚州区施河卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区溪河镇卫生院,淮安市楚州区溪河镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,楚州区朱桥卫生院,楚州区朱桥卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,江苏省淮安市楚州区建淮乡卫生院,江苏省淮安市楚州区建淮乡卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区马甸镇人民卫生院,淮安市楚州区马甸镇人民卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区上河镇卫生院,淮安市楚州区上河镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,楚州区平桥镇人民医院,楚州区平桥镇人民医院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,楚州区妇幼保健院,楚州区妇幼保健院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,淮安市楚州区皮肤病防治院,淮安市楚州区皮肤病防治院,公立/综合医院,二级乙等
江苏省,淮安市,楚州区,淮安市楚州中医院,淮安市中医院,公立/综合医院,二级乙等
江苏省,淮安市,楚州区,江苏省楚州区医院,江苏省楚州区医院,公立/综合医院,二级甲等
江苏省,淮安市,楚州区,淮安市楚州医院,淮安市肿瘤医院,公立/综合医院,二级甲等
江苏省,淮安市,楚州区,楚州区朱桥卫生院, 楚州区朱桥卫生院,公立/综合医院,一级甲等
江苏省,淮安市,楚州区,江苏省白马湖农场职工医院,江苏省白马湖农场职工医院,其他/综合医院,二级甲等
