省,市,区,全名,别名,性质,等级
江苏省,淮安市,淮阴区,淮安市第一人民医院,南京医科大学附属淮安第一医院,公立/综合医院,三级甲等　　
江苏省,淮安市,淮阴区,淮安市第三人民医院,淮阴地区神经精神病防治院,公立/综合医院,三级乙等
江苏省,淮安市,淮阴区,淮阴市人民医院,淮阴市人民医院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮安男科医院,淮安男科医院,公立/专科医院,民营医院
江苏省,淮安市,淮阴区,淮阴区棉花中心卫生院分院,淮阴区棉花中心卫生院分院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区徐溜集中心卫生院分院,淮阴区徐溜集中心卫生院分院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区徐溜集中心卫生院,淮阴区徐溜集中心卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区渔沟中心卫生院分院,淮阴区渔沟中心卫生院分院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区吴城卫生院,淮阴区吴城卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区韩桥卫生院,淮阴区韩桥卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区赵集卫生院,淮阴区赵集卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区三树卫生院分院,淮阴区三树卫生院分院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区三树卫生院,淮阴区三树卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区西宋集卫生院分院,淮阴区西宋集卫生院分院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区王营黄河花园社区卫生服务站,淮阴区王营黄河花园社区卫生服务站,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区王营工业园区卫生院服务站,淮阴区王营工业园区卫生院服务站,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区张集卫生院,淮阴区张集卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮安市淮阴区古寨卫生院,淮安市淮阴区古寨卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮安市淮阴区五里卫生院,淮安市淮阴区五里卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮安市淮阴区新渡乡卫生院,淮安市淮阴区新渡乡卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区王兴卫生院,淮阴区王兴卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区袁集卫生院,淮阴区袁集卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区凌桥卫生院,淮阴区凌桥卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,江苏省淮阴区吴集医院,江苏省淮阴区吴集医院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮安市阳光医院,淮安市阳光医院,民营/综合医院,未知
江苏省,淮安市,淮阴区,淮阴电厂职工医院,淮阴电厂职工医院,公立/综合医院,未知
江苏省,淮安市,淮阴区,江苏省淮安市华能电厂卫生所,江苏省淮安市华能电厂卫生所,公立/综合医院,未知
江苏省,淮安市,淮阴区,江苏淮阴新华印刷厂卫生所,江苏淮阴新华印刷厂卫生所,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮安市帝益药业医务室,淮安市帝益药业医务室,民营/综合医院,未知
江苏省,淮安市,淮阴区,淮安供电公司卫生所,淮安供电公司卫生所,民营/综合医院,未知
江苏省,淮安市,淮阴区,淮安市淮阴工学院卫生所,淮安市淮阴工学院卫生所,公立/综合医院,未知
江苏省,淮安市,淮阴区,江苏省一致堂门诊,江苏省一致堂门诊,公立/综合医院,未知
江苏省,淮安市,淮阴区,江苏奔航齿轮有限公司卫生所,江苏奔航齿轮有限公司卫生所,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮海西村社区卫生服务站,淮海西村社区卫生服务站,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区王营中心卫生院果林分院,淮阴区王营中心卫生院果林分院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区王营中心卫生院杨庄分院,淮阴区王营中心卫生院杨庄分院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区王营中心卫生院,淮阴区王营中心卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区阳光医院,淮阴区阳光医院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮安市淮阴区妇幼保健所,淮安市淮阴区妇幼保健所,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区第三人民医院,淮阴区第三人民医院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮安市淮阴区第二人民医院,淮安市淮阴区第二人民医院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区医院第二门诊部,淮阴区医院第二门诊部,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮安市淮阴区医院,淮安市淮阴区医院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区码头卫生院,淮阴区码头卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区西宋集卫生院,淮阴区西宋集卫生院,公立/综合医院,未知
江苏省,淮安市,淮阴区,淮阴区渔沟中心卫生院,淮阴区渔沟中心卫生院,公立/综合医院,一级甲等
江苏省,淮安市,淮阴区,淮阴区棉花社区卫生服务中心,淮阴区棉花中心卫生院,公立/综合医院,二级甲等
