省,市,区,全名,别名,性质,等级
江苏省,淮安市,金湖县,金湖县口腔病防治院,金湖县口腔病防治院,公立/专科医院,未知
江苏省,淮安市,金湖县,金湖宝应湖农场职工医院,金湖宝应湖农场职工医院,公立/综合医院,未知
江苏省,淮安市,金湖县,淮安市淮阴区刘老庄乡卫生院,淮安市淮阴区刘老庄乡卫生院,公立/综合医院,未知
江苏省,淮安市,金湖县,金湖县计生指导站,金湖县计生指导站,公立/综合医院,未知
江苏省,淮安市,金湖县,金湖县皮防所,金湖县皮防所,公立/综合医院,未知
江苏省,淮安市,金湖县,江苏省金湖县戴楼乡卫生院,江苏省金湖县戴楼乡卫生院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,金湖县金南卫生院,金湖县金南卫生院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,盱眙县鲍集镇鲍集卫生院,盱眙县鲍集镇鲍集卫生院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,金湖县黎城镇卫生院,金湖县黎城镇卫生院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,金湖县陈桥镇卫生院,金湖县陈桥镇卫生院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,江苏省银集镇卫生院,江苏省银集镇卫生院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,江苏省金湖县前锋镇卫生院,江苏省金湖县前锋镇卫生院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,金湖县闵桥镇卫生院,金湖县闵桥镇卫生院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,金湖县宝应湖农场医院,金湖县宝应湖农场医院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,金湖县金北镇卫生院,金湖县金北镇卫生院,公立/综合医院,一级乙等
江苏省,淮安市,金湖县,江苏省金湖县涂沟镇卫生院,江苏省金湖县涂沟镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,金湖县,金湖县吕良中心卫生院,金湖县吕良中心卫生院,公立/综合医院,一级甲等
江苏省,淮安市,金湖县,塔集中心卫生院,塔集中心卫生院,公立/综合医院,一级甲等
江苏省,淮安市,金湖县,金湖县妇幼保健所,金湖县妇幼保健所,公立/综合医院,一级甲等
江苏省,淮安市,金湖县,金湖县中医院,金湖县中医院,公立/综合医院,二级甲等
江苏省,淮安市,金湖县,金湖县血吸虫病防治站,金湖县血吸虫病防治站,其他/其他,未知
